ID,PDF,OUTabstract,OUTtext,outMA,Authors,AUFull,Title,Abstract,citation,year,source,data year,studytype,design,COMP,protection,Creation,Age,Size,degradationlevel,country,continent,climate,ocean,ecosystem,species,mechanism,outcome,indicator,subindicator,direction,quantitative,data origin,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD, AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControl_SD,ei,vei,comment
216,,in,out,out,"Abbott, KM; Elsey-Quirk, T; DeLaune, RD","Abbott, Katherine M.; Elsey-Quirk, Tracy; DeLaune, Ronald D.",Factors influencing blue carbon accumulation across a 32-year chronosequence of created coastal marshes,"Saline coastal marshes are blue carbon ecosystems with relatively high soil carbon (C) stocks and high rates of soil C accumulation. Loss of saline wetlands due to relative sea-level rise, land-use change, and hydrologic alterations liberates previously s",1,,WoS,,field,,ABS,,,,,,,,,,marsh,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,yes,in,in,in,Adame,,Loss and recovery of carbon and nitrogen after mangrove clearing,,,2018,ref,2016,field,CI,COMP,protection,,,,complete,Malaysia,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,ABG+BGB+soil C,positive,yes,table 4,mg C ha-1,SE,,,,,,,,,895.8,6,113.9,278.9968817,385.2,6,72.6,177.8329553,0.843954494,0.051689115,
773,yes,in,in,in,Adame,,Loss and recovery of carbon and nitrogen after mangrove clearing,,,2018,ref,2016,field,CI,COMP,restoration,2011,5,,complete,Malaysia,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,ABG+BGB+soil C,neutral,yes,table 4,mg C ha-1,SE,,,,,,,,,472,6,15,36.74234614,385.2,6,72.6,177.8329553,0.203216306,0.036532215,70 yr vs clear cut
773,yes,in,in,in,Adame,,Loss and recovery of carbon and nitrogen after mangrove clearing,,,2018,ref,2016,field,CI,COMP,restoration,2001,15,,complete,Malaysia,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,ABG+BGB+soil C,positive,yes,table 4,mg C ha-1,SE,,,,,,,,,679.5,6,22.2,54.37867229,385.2,6,72.6,177.8329553,0.567594554,0.036589667,70 yr vs clear cut
773,yes,in,in,in,Adame,,Loss and recovery of carbon and nitrogen after mangrove clearing,,,2018,ref,2016,field,CI,COMP,restoration,1986,30,,complete,Malaysia,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,ABG+BGB+soil C,positive,yes,table 4,mg C ha-1,SE,,,,,,,,,703,6,22.3,54.62362126,385.2,6,72.6,177.8329553,0.601594212,0.036528502,70 yr vs clear cut
773,yes,in,in,in,Adame,,Loss and recovery of carbon and nitrogen after mangrove clearing,,,2018,ref,2016,field,CI,COMP,restoration,1976,40,,complete,Malaysia,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,ABG+BGB+soil C,positive,yes,table 4,mg C ha-1,SE,,,,,,,,,630.3,6,24.5,60.0124987,385.2,6,72.6,177.8329553,0.492433217,0.037033174,70 yr vs clear cut
522,,in,out,out,"Adame, MF; Fry, B","Adame, M. F.; Fry, B.",Source and stability of soil carbon in mangrove and freshwater wetlands of the Mexican Pacific coast,"Wetlands can store large quantities of carbon (C) and are considered key sites for C sequestration. However, the C sequestration potential of wetlands is spatially and temporally variable, and depends on processes associated with C production, preservatio",30,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,in,out,out,"Adame, MF; Kauffman, JB; Medina, I; Gamboa, JN; Torres, O; Caamal, JP; Reza, M; Herrera-Silveira, JA","Adame, Maria Fernanda; Kauffman, J. Boone; Medina, Israel; Gamboa, Julieta N.; Torres, Olmo; Caamal, Juan P.; Reza, Miriam; Herrera-Silveira, Jorge A.",Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,Coastal wetlands can have exceptionally large carbon (C) stocks and their protection and restoration would constitute an effective mitigation strategy to climate change. Inclusion of coastal ecosystems in mitigation strategies requires quantification of c,149,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,in,out,out,"Adame, MF; Kauffman, JB; Medina, I; Gamboa, JN; Torres, O; Caamal, JP; Reza, M; Herrera-Silveira, JA","Adame, Maria Fernanda; Kauffman, J. Boone; Medina, Israel; Gamboa, Julieta N.; Torres, Olmo; Caamal, Juan P.; Reza, Miriam; Herrera-Silveira, Jorge A.",Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,Coastal wetlands can have exceptionally large carbon (C) stocks and their protection and restoration would constitute an effective mitigation strategy to climate change. Inclusion of coastal ecosystems in mitigation strategies requires quantification of c,149,,WoS,,field,,ABS,,,,,,,,,,marsh,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,in,out,out,"Afefe, AA; Abbas, MS; Soliman, AS; Khedr, AHA; Hatab, EE","Afefe, Abdelwahab A.; Abbas, Mohamed S.; Soliman, Amira Sh; Khedr, Abdel-Hamid A.; Hatab, El-Bialy E.",Tree biomass and soil carbon stocks of a mangrove ecosystem on the Egyptian-African Red Sea coast,Mangroves are key ecosystems in strategies addressing the mitigation of climate change through carbon storage in several countries around the world. The main objective of this study is to quantify the carbon storage (above- and below-ground) in the biomas,0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
