ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,age_category,MPAcreation,MPAprotection,FPAsize,MPAsize,size_category,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,MPAvalue,AfterMPA_samplesize,MPAnInd,errortype,MPAerror,MPAvariance,controlvalue,AfterControl_samplesize,controlnInd,controlerror,controlvar,ei,comment
1,out,out,out,WoS,no,J,"Phair, Nikki Leanne; Nielsen, Erica Spotswood; von der Heyden, Sophie","Phair, Nikki Leanne; Nielsen, Erica Spotswood; von der Heyden, Sophie",Applying genomic data to seagrass conservation,.,.,"Although genomic diversity is increasingly recognised as a key component of biodiversity, it is seldom used to inform conservation planning. Estuaries and keystone species such as the seagrass, Zostera capensis, are under severe anthropogenic pressure and are often poorly protected. In this study we integrated Single Nucleotide Polymorphism data generated from populations of Z. capensis across the South African coastline into the spatial prioritisation tool Marxan. We included different measures of genomic variation to account for genomic diversity, distinctness and evolutionary potential to explore spatial planning scenarios. We investigated how conservation priority areas identified by targeting only habitat type differed from those identified by also including genomic measures; further we assessed how different genetic diversity metrics change prioritisation outcomes. All scenarios targeting genomic variation identified unique conservation prioritisation areas compared to scenarios only targeting habitat type. As such, omitting these estuaries from regional Marine Protected Areas networks risks the loss of evolutionarily important populations, threatening resilience and persistence of associated estuarine communities and their ecosystem services. We also observed a high degree of overlap between prioritisation outcomes across targeted measures of genomic variation. As such, by including even single measures of genomic variation, it may be possible to sufficiently represent the evolutionary processes behind the patterns of variation, while simplifying the conservation prioritisation procedure.",0,2021,10.1007/s10531-021-02184-w,WOS:000642068000001,model,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,only about design of MPA under different prioritization settings
2,out,out,out,WoS,no,J,"Jenkins, Tom L.; Guillemin, Marie-Laure; Simon-Nutbrown, Cornelia; Burdett, Heidi L.; Stevens, Jamie R.; Pena, Viviana","Jenkins, Tom L.; Guillemin, Marie-Laure; Simon-Nutbrown, Cornelia; Burdett, Heidi L.; Stevens, Jamie R.; Pena, Viviana",Whole genome genotyping reveals discrete genetic diversity in north-east Atlantic maerl beds,.,.,"Maerl beds are vital habitats for a diverse array of marine species across trophic levels, but they are increasingly threatened by human activities and climate change. Furthermore, little is known about the genetic diversity of maerl-forming species and the population structure of maerl beds, both of which are important for understanding the ability of these species to adapt to changing environments and for informing marine reserve planning. In this study, we used a whole genome genotyping approach to explore the population genomics of Phymatolithon calcareum, a maerl-forming red algal species, whose geographical distribution spans the north-east Atlantic, from Norway to Portugal. Our results, using 14,150 genome-wide SNPs (single nucleotide polymorphisms), showed that P. calcareum maerl beds across the north-east Atlantic are generally structured geographically, a pattern likely explained by low dispersal potential and limited connectivity between regions. Additionally, we found that P. calcareum from the Fal Estuary, south-west England, is genetically distinct from all other P. calcareum sampled, even from The Manacles, a site located only 13 km away. Further analysis revealed that this finding is not the result of introgression from two closely related species, Phymatolithon purpureum or Lithothamnion corallioides. Instead, this unique diversity may have been shaped over time by geographical isolation of the Fal Estuary maerl bed and a lack of gene flow with other P. calcareum populations. The genomic data presented in this study suggest that P. calcareum genetic diversity has accumulated over large temporal and spatial scales, the preservation of which will be important for maximizing the resilience of this species to changes in climate and the environment. Moreover, our findings underline the importance of managing the conservation of maerl beds across western Europe as distinct units, at a site-by-site level.",0,2021,10.1111/eva.13219,WOS:000634919200001,field,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"no MPA, no control"
3,in,out,.,WoS,yes,J,"Alegria-Ortega, Angela; Jose Sanin-Perez, Maria; Irene Quan-Young, Lizette; Londono-Mesa, Mario H.","Alegria-Ortega, Angela; Jose Sanin-Perez, Maria; Irene Quan-Young, Lizette; Londono-Mesa, Mario H.",Genetic structure of Orbicella faveolata population reveals high connectivity among a marine protected area and Varadero Reef in the Colombian Caribbean,.,.,"The protection of ecosystems with high diversity, such as coral reefs, is not an approach that guarantees their conservation. Thus, maintaining connectivity among coral populations over the long term is a strategy that should be adopted in order to protect diversity and ecological processes. Although coral reefs in Colombia are highly diverse, the population genetics baseline data of keystone species such as Orbicella faveolata are limited.To provide current information about the connectivity between populations of O. faveolata in the Colombian Caribbean, the genetic diversity and distribution of O. faveolata was evaluated with analysis of molecular variance (AMOVA), principal components, and migration estimations using 113 genets distributed in six populations. Also, a genetic structure analysis that included the available data for the Caribbean population was conducted, seeking to understand how the Colombian populations relate to the broader region.According to the global fixation index (F-ST) for the Colombian Caribbean, there was no genetic structure (F-ST = 0.002). Discriminant analysis of principal components (DAPC) showed that Corales del Rosario Archipelago (CR), Este de Isla Fuerte (EIF), San Bernardo Archipelago (SB), and Varadero Reef (VR) were grouped with Oeste de Isla Fuerte (OIF), with Bushnell (BS) representing the most divergent cluster. Migration analysis showed relatively high migration from VR to CR and SB, highlighting the importance of VR as a genetic reservoir for the region. Structure analysis showed that the Colombian population presented a specific genetic identity (F-ST = 0.254), suggesting that the Colombian Caribbean population could be a peripheral population that contributes significantly to genetic variation and is connected through a complex connectivity process.In conclusion, the estimated genetic connectivity reflects the influence of sea surface dynamics over the interpopulation exchange dynamics and the role of protected and nonprotected coral reef in the Colombian Caribbean. Thus, the Colombian Caribbean population of O. faveolata could be relevant to the conservation of genetic diversity on a larger scale.",0,2021,10.1002/aqc.3489,WOS:000609309500001,field,CI,2016-2017,MPA,CRSBeIF,mix,,mix,PPA,mix,mix,,NA,Colombia,tropical,South America,Caribbean sea,coral reef,.,.,invertebrate,Orbicella faveolata,unfished,no,.,.,.,.,.,allelic richness,table 2,neutral,yes,number,6.7565,2,62,variance,0.0096605,0.0096605,6.53425,4,55,0.12512092,0.1251209,0.033447431,pseudo replication
3,in,out,.,WoS,yes,J,"Alegria-Ortega, Angela; Jose Sanin-Perez, Maria; Irene Quan-Young, Lizette; Londono-Mesa, Mario H.","Alegria-Ortega, Angela; Jose Sanin-Perez, Maria; Irene Quan-Young, Lizette; Londono-Mesa, Mario H.",Genetic structure of Orbicella faveolata population reveals high connectivity among a marine protected area and Varadero Reef in the Colombian Caribbean,.,.,"The protection of ecosystems with high diversity, such as coral reefs, is not an approach that guarantees their conservation. Thus, maintaining connectivity among coral populations over the long term is a strategy that should be adopted in order to protect diversity and ecological processes. Although coral reefs in Colombia are highly diverse, the population genetics baseline data of keystone species such as Orbicella faveolata are limited.To provide current information about the connectivity between populations of O. faveolata in the Colombian Caribbean, the genetic diversity and distribution of O. faveolata was evaluated with analysis of molecular variance (AMOVA), principal components, and migration estimations using 113 genets distributed in six populations. Also, a genetic structure analysis that included the available data for the Caribbean population was conducted, seeking to understand how the Colombian populations relate to the broader region.According to the global fixation index (F-ST) for the Colombian Caribbean, there was no genetic structure (F-ST = 0.002). Discriminant analysis of principal components (DAPC) showed that Corales del Rosario Archipelago (CR), Este de Isla Fuerte (EIF), San Bernardo Archipelago (SB), and Varadero Reef (VR) were grouped with Oeste de Isla Fuerte (OIF), with Bushnell (BS) representing the most divergent cluster. Migration analysis showed relatively high migration from VR to CR and SB, highlighting the importance of VR as a genetic reservoir for the region. Structure analysis showed that the Colombian population presented a specific genetic identity (F-ST = 0.254), suggesting that the Colombian Caribbean population could be a peripheral population that contributes significantly to genetic variation and is connected through a complex connectivity process.In conclusion, the estimated genetic connectivity reflects the influence of sea surface dynamics over the interpopulation exchange dynamics and the role of protected and nonprotected coral reef in the Colombian Caribbean. Thus, the Colombian Caribbean population of O. faveolata could be relevant to the conservation of genetic diversity on a larger scale.",0,2021,10.1002/aqc.3490,WOS:000609309500001,field,CI,2016-2017,MPA,CRSBeIF,mix,,mix,PPA,mix,mix,,NA,Colombia,tropical,South America,Caribbean sea,coral reef,.,.,invertebrate,Orbicella faveolata,unfished,no,.,.,.,.,.,expected heterozygosity,table 2,neutral,yes,number,0.78895,2,62,variance,1.81E-06,0.00000181,0.772225,4,55,0.000523163,0.000523163,0.021426989,pseudo replication
3,in,out,.,WoS,yes,J,"Alegria-Ortega, Angela; Jose Sanin-Perez, Maria; Irene Quan-Young, Lizette; Londono-Mesa, Mario H.","Alegria-Ortega, Angela; Jose Sanin-Perez, Maria; Irene Quan-Young, Lizette; Londono-Mesa, Mario H.",Genetic structure of Orbicella faveolata population reveals high connectivity among a marine protected area and Varadero Reef in the Colombian Caribbean,.,.,"The protection of ecosystems with high diversity, such as coral reefs, is not an approach that guarantees their conservation. Thus, maintaining connectivity among coral populations over the long term is a strategy that should be adopted in order to protect diversity and ecological processes. Although coral reefs in Colombia are highly diverse, the population genetics baseline data of keystone species such as Orbicella faveolata are limited.To provide current information about the connectivity between populations of O. faveolata in the Colombian Caribbean, the genetic diversity and distribution of O. faveolata was evaluated with analysis of molecular variance (AMOVA), principal components, and migration estimations using 113 genets distributed in six populations. Also, a genetic structure analysis that included the available data for the Caribbean population was conducted, seeking to understand how the Colombian populations relate to the broader region.According to the global fixation index (F-ST) for the Colombian Caribbean, there was no genetic structure (F-ST = 0.002). Discriminant analysis of principal components (DAPC) showed that Corales del Rosario Archipelago (CR), Este de Isla Fuerte (EIF), San Bernardo Archipelago (SB), and Varadero Reef (VR) were grouped with Oeste de Isla Fuerte (OIF), with Bushnell (BS) representing the most divergent cluster. Migration analysis showed relatively high migration from VR to CR and SB, highlighting the importance of VR as a genetic reservoir for the region. Structure analysis showed that the Colombian population presented a specific genetic identity (F-ST = 0.254), suggesting that the Colombian Caribbean population could be a peripheral population that contributes significantly to genetic variation and is connected through a complex connectivity process.In conclusion, the estimated genetic connectivity reflects the influence of sea surface dynamics over the interpopulation exchange dynamics and the role of protected and nonprotected coral reef in the Colombian Caribbean. Thus, the Colombian Caribbean population of O. faveolata could be relevant to the conservation of genetic diversity on a larger scale.",0,2021,10.1002/aqc.3491,WOS:000609309500001,field,CI,2016-2017,MPA,CRSBeIF,mix,,mix,PPA,mix,mix,,NA,Colombia,tropical,South America,Caribbean sea,coral reef,.,.,invertebrate,Orbicella faveolata,unfished,no,.,.,.,.,.,observed heterozygosity,table 2,neutral,yes,number,0.71885,2,62,variance,1.13E-06,1.13E-06,0.676475,4,55,0.003673229,3.67E-03,0.060757221,pseudo replication
4,in,out,out,WoS,yes,J,"Srinivas, Yellapu; Pande, Anant; Gole, Swapnali; Jothi, P. V. R. Prem; Magesh, K. Madhu; Pathan, Sameeha; Dudhat, Sohini; Shekar, Rukmini; Ghanekar, Chinmaya; Kukadia, Devanshi; Johnson, Jeyaraj Antony; Mondol, Samrat; Sivakumar, Kuppusamy","Srinivas, Yellapu; Pande, Anant; Gole, Swapnali; Jothi, P. V. R. Prem; Magesh, K. Madhu; Pathan, Sameeha; Dudhat, Sohini; Shekar, Rukmini; Ghanekar, Chinmaya; Kukadia, Devanshi; Johnson, Jeyaraj Antony; Mondol, Samrat; Sivakumar, Kuppusamy",Mitochondrial phylogeography reveals high haplotype diversity and unique genetic lineage in Indian dugongs (Dugong dugon),.,.,"1. India plays a significant role in dugong conservation by having the largest population within South Asia. The status of dugongs in India is largely unknown due to a paucity of reliable ecological data. This study generated mitochondrial control region sequences from similar to 10% of dugong individuals from existing populations within India. Furthermore, data generated in this study were compared with the global data to assess genetic lineages, population structure, and genetic diversity of Indian populations.2. Multiple analyses suggest that the Indian dugong populations are part of a single genetic cluster, comprising South Asia, North-west Indian Ocean, and South-west Indian Ocean populations. Despite small population size, they retain high genetic diversity with unique mitochondrial DNA haplotypes within South Asia. Within India, novel haplotypes are observed from all dugong habitats sampled, with overall high haplotype diversity (0.85 +/- 0.04) but low nucleotide diversity (0.005 +/- 0.001). Indian populations exhibit genetic differentiation with higher within-population variance (63.41%) than among populations (36.59%). Two of the haplotypes observed in India are shared with Sri Lanka, implying genetic connectivity between these populations.3. The genetic data from Indian dugong populations provide critical insights into the identification of dugong corridors and important dugong conservation zones in India. We suggest site-specific interventions, including the creation of new marine protected areas and boundary reorganization and expansion of other existing protected areas, to ensure population connectivity. In addition, simultaneous efforts towards seagrass meadow restoration, reduction of dugong mortalities, and community participation in dugong conservation are recommended for population recovery of this threatened marine herbivore.",0,2021,10.1002/aqc.3490,WOS:000600790700001,field,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Unclear MPAs and unclear control
5,in,out,out,WoS,yes,J,"Henriques, R.; Mann, B. Q.; Nielsen, E. S.; Hui, C.; von der Heyden, S.","Henriques, R.; Mann, B. Q.; Nielsen, E. S.; Hui, C.; von der Heyden, S.",Extending biodiversity conservation with functional and evolutionary diversity: a case study of South African sparid fishes,.,.,"Designing marine protected area (MPA) networks has relied primarily on species- or habitat-based measures that assess spatial distributions of biodiversity. Molecular and functional data have the potential to unlock information regarding the evolutionary uniqueness and resilience of natural communities, making phylogenetic diversity (PD) and functional diversity (FD) effective tools for spatial planning. These are, however, rarely used in marine conservation planning. In South Africa, MPAs have been implemented to protect rare and valuable fishery resources, such as members of the Sparidae (seabreams), but have not considered different dimensions of biodiversity, such as its phylogenetic and functional components. Here, we mapped species distributions, phylogenetic relationships and functional features of the Sparidae in South Africa to refine how biodiversity is spatially structured for this species-rich taxonomic group. Our results show strong spatial similarities between PD and FD, suggesting that, for this group, PD is an effective surrogate for functional data. However, there was a mismatch between areas selected with different biodiversity metrics (particularly endemicity levels) and established MPAs, highlighting the need for integrated approaches to conserve this unique marine fauna.",1,2020,10.2989/1814232X.2020.1798282,WOS:000571963000001,field,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,not about genetic diversity
6,in,out,.,WoS,yes,J,"Sturm, Alexis B.; Eckert, Ryan J.; Gonzalez Mendez, Juliett; Gonzalez-Diaz, Patricia; Voss, Joshua D.","Sturm, Alexis B.; Eckert, Ryan J.; Gonzalez Mendez, Juliett; Gonzalez-Diaz, Patricia; Voss, Joshua D.","Population genetic structure of the great star coral, Montastraea cavernosa, across the Cuban archipelago with comparisons between microsatellite and SNP markers",.,.,"Coral reef habitats surrounding Cuba include relatively healthy, well-developed shallow and mesophotic (30-150 m) scleractinian communities at the cross-currents of the Tropical Western Atlantic (TWA). However, Cuba's coral communities are not immune to the declines observed throughout the TWA, and there is limited information available regarding genetic connectivity, diversity, and structure among these populations. This represents an immense gap in our understanding of coral ecology and population dynamics at both local and regional scales. To address this gap, we evaluated the population genetic structure of the coral Montastraea cavernosa across eight reef sites surrounding Cuba. Colonies were genotyped using nine microsatellite markers and > 9,000 single nucleotide polymorphism (SNP) markers generated using the 2bRAD approach to assess fine-scale genetic structure across these sites. Both the microsatellite and SNP analyses identified patterns of genetic differentiation among sample populations. While the microsatellite analyses did not identify significant genetic structure across the seven shallow M. cavernosa sampling sites, the SNP analyses revealed significant pairwise population differentiation, suggesting that differentiation is greater between eastern and western sites. This study provides insight into methodological differences between microsatellite and SNP markers including potential trade-offs between marker-specific biases, sample size, sequencing costs, and the ability to resolve subtle patterns of population genetic structure. Furthermore, this study suggests that locations in western Cuba may play important roles in this species' regional metapopulation dynamics and therefore may merit incorporation into developing international management efforts in addition to the local management the sites receive.",1,2020,10.1038/s41598-020-72112-5,WOS:000608588900001,field,CI,2017,MPA,NA,NA,,NA,NA,NA,NA,,NA,Cuba,tropical,Central America,Caribbean sea,coral reef,.,.,invertebrate,Montastraea cavernosa,unfished,no,.,.,.,.,.,expected heterozygosity,.,ambiguous,yes,number,.,.,.,.,.,.,.,.,.,.,.,.,impossible to identify protected and unprotected sites
6,in,out,.,WoS,yes,J,"Sturm, Alexis B.; Eckert, Ryan J.; Gonzalez Mendez, Juliett; Gonzalez-Diaz, Patricia; Voss, Joshua D.","Sturm, Alexis B.; Eckert, Ryan J.; Gonzalez Mendez, Juliett; Gonzalez-Diaz, Patricia; Voss, Joshua D.","Population genetic structure of the great star coral, Montastraea cavernosa, across the Cuban archipelago with comparisons between microsatellite and SNP markers",.,.,"Coral reef habitats surrounding Cuba include relatively healthy, well-developed shallow and mesophotic (30-150 m) scleractinian communities at the cross-currents of the Tropical Western Atlantic (TWA). However, Cuba's coral communities are not immune to the declines observed throughout the TWA, and there is limited information available regarding genetic connectivity, diversity, and structure among these populations. This represents an immense gap in our understanding of coral ecology and population dynamics at both local and regional scales. To address this gap, we evaluated the population genetic structure of the coral Montastraea cavernosa across eight reef sites surrounding Cuba. Colonies were genotyped using nine microsatellite markers and > 9,000 single nucleotide polymorphism (SNP) markers generated using the 2bRAD approach to assess fine-scale genetic structure across these sites. Both the microsatellite and SNP analyses identified patterns of genetic differentiation among sample populations. While the microsatellite analyses did not identify significant genetic structure across the seven shallow M. cavernosa sampling sites, the SNP analyses revealed significant pairwise population differentiation, suggesting that differentiation is greater between eastern and western sites. This study provides insight into methodological differences between microsatellite and SNP markers including potential trade-offs between marker-specific biases, sample size, sequencing costs, and the ability to resolve subtle patterns of population genetic structure. Furthermore, this study suggests that locations in western Cuba may play important roles in this species' regional metapopulation dynamics and therefore may merit incorporation into developing international management efforts in addition to the local management the sites receive.",1,2020,10.1038/s41598-020-72112-6,WOS:000608588900001,field,CI,2017,MPA,NA,NA,,NA,NA,NA,NA,,NA,Cuba,tropical,Central America,Caribbean sea,coral reef,.,.,invertebrate,Montastraea cavernosa,unfished,no,.,.,.,.,.,observed heterozygosity,.,ambiguous,yes,number,.,.,.,.,.,.,.,.,.,.,.,.,impossible to identify protected and unprotected sites
7,in,out,out,WoS,yes,J,"Busch, Kathrin; Beazley, Lindsay; Kenchington, Ellen; Whoriskey, Frederick; Slaby, Beate M.; Hentschel, Ute","Busch, Kathrin; Beazley, Lindsay; Kenchington, Ellen; Whoriskey, Frederick; Slaby, Beate M.; Hentschel, Ute",Microbial diversity of the glass spongeVazella pourtalesiiin response to anthropogenic activities,.,.,"Establishment of adequate conservation areas represents a challenging but crucial task in the conservation of genetic diversity and biological variability. Anthropogenic pressures on marine ecosystems and organisms are steadily increasing. Whether and to what extent these pressures influence marine genetic biodiversity is only starting to be revealed. Using 16S rRNA gene amplicon sequencing, we analysed the microbial community structure of 33 individuals of the habitat-forming glass spongeVazella pourtalesii, as well as reference seawater, sediment, and biofilm samples. We assessed how two anthropogenic impacts, i.e. habitat destruction by trawling and artificial substrate provision (moorings made of composite plastic), correspond with in situV. pourtalesiimicrobiome variability. In addition, we evaluated the role of two bottom fishery closures in preserving sponge-associated microbial diversity on the Scotian Shelf, Canada. Our results illustrate thatV. pourtalesiisponges collected from protected sites within fishery closures contained distinct and taxonomically largely novel microbial communities. At the trawled site we recorded significant quantitative differences in distinct microbial phyla, such as a reduction in Nitrospinae in the four sponges from this site and the environmental references. Individuals ofV. pourtalesiigrowing on the mooring were significantly enriched in Bacteroidetes, Verrucomicrobia and Cyanobacteria in comparison to sponge individuals growing on the natural seabed. Due to a concomitant enrichment of these taxa in the mooring biofilm, we propose that biofilms on artificial substrates may 'prime' sponge-associated microbial communities when small sponges settle on such substrates. These observations likely have relevant management implications when considering the increase of artificial substrates in the marine environment, e.g., marine litter, off-shore wind parks, and petroleum platforms.",2,2020,10.1007/s10592-020-01305-2,WOS:000562340600001,field,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,not about intraspecific genetic diversity
