ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Author Full Names,Article Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",Year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,MPAindex,FPAsize,MPAsize,Size,enforcement,governance,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,inMPA,stakeholder,mechanism,outcome,indicator,direction,quantitative,unit,DataOrigin,errortype,errortrans,valueMPAB,errorMPAB,sampleMPAB,valueMPAA,errorMPAA,sampleMPAA,valuecontrolA,errorcontrolA,samplecontrolA,valuecontrolB,errorcontrolB,samplecontrolB,ei,SEei,SDei,vei,ntotal,comment,OUTabstract,OUTtext
1,out,out,,WoS,no,J,"Eales, J; Bethel, A; Fullam, J; Olmesdahl, S; Wulandari, P; Garside, R","Eales, Jacqualyn; Bethel, Alison; Fullam, James; Olmesdahl, Sandra; Wulandari, Prawestari; Garside, Ruth",What is the evidence documenting the effects of marine or coastal nature conservation or natural resource management activities on human well-being in South East Asia? A systematic map,ENVIRONMENT INTERNATIONAL,,"Background: Conservation activities and natural resource management interventions have often aimed to tackle the dual challenge of improving nature conservation and human well-being. However, there is concern over the extent to which this dual goal has been achieved, and an increasing recognition of trade-offs and synergies within and between aspects of each of the goals. The amount and scope of the available evidence on the success of conservation and management interventions in both arenas has lacked documentation, for a number of reasons, including limited resources for monitoring and evaluation and the difficulty in bringing together a disparate evidence base. This systematic map focuses on the interaction between marine conservation management and the health and well-being of coastal communities in South East Asia. Method: We searched bibliographic databases to find published literature, and identified grey literature through institutional and organisational website searches and key stakeholders. Eligibility criteria were applied in two stages, title and abstract and full text, with consistency checks. We extracted meta -data on the design and characteristics of each study, from which we produced an interactive database and map, and a narrative summary. Results: We assessed 42,894 records at title and abstract from the main searches. 1,331 articles were assessed at full text (30 articles were not retrievable). 287 articles (281 studies) were included in the systematic map. Most studies were peer-reviewed publications (90%), and from the Philippines and Indonesia (72%). 31% of studies were solely qualitative, 45% were solely quantitative and 24% included both qualitative and quantitative research. Only 24% (31/127) of quantitative studies included a comparator. We identified knowledge clusters where studies investigated the links between the marine conservation interventions: Site Protection, Economic or Livelihood Incentives or Alternatives, or Habitat Management, and the human health and well-being outcomes: Economic Living Standards, Governance and Empowerment, or Social Relations. In addition, qualitative research clusters were identified exploring the links between the intervention Habitat Management, and the outcome Governance and Empowerment, and between the intervention Economic or Livelihood Incentives or Alternatives, and the outcomes of Governance and Empowerment, and Social Relations. We identified major knowledge gaps in evidence for the effect of marine conservation interventions on the outcomes Freedom of Choice and Action, Security and Safety, Subjective Well-being, Health, and Culture and Spirituality. There was a lack of studies involving Education, Awareness and Activism interventions that reported any human health and well-being outcomes. Conclusion: We present the first updatable, interrogable and comprehensive evidence map on this topic for South East Asia. Our work supports further, detailed investigation of knowledge clusters using systematic review and also serves to identify understudied topic areas. The lack of comparative, quantitative studies suggests that future research should include counterfactuals to strengthen the robustness of evidence base. Users of this systematic map should recognise that much evidence may be national or locally specific, and that we did not undertake an assessment of study quality. Thus, when considering implications for policy and decision-making, users should carefully consider the heterogeneity of available evidence and refer to original research articles to gain a full depth of understanding and context.",0,2021,10.1016/j.envint.2021.106397,WOS:000632312100015,systematic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,investigates categories without giving directions or MPA effects,
2,out,out,,WoS,no,J,"Franco-Fuentes, E; Moity, N; Ramirez-Gonz, J; Andrade-Vera, S; Hardisson, A; Paz, S; Rubio, C; Gutierrez, AJ","Franco-Fuentes, Eduardo; Moity, Nicolas; Ramirez-Gonz, Jorge; Andrade-Vera, Solange; Hardisson, Arturo; Paz, Soraya; Rubio, Carmen; Gutierrez, Angel J.",Metals in commercial fish in the Galapagos Marine Reserve: Contribution to food security and toxic risk assessment,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,"Metal pollution in the marine environment can damage places with exceptional biodiversity such as the Galapagos Islands. For this reason, it is important to evaluate the toxic risk from metals derived from fish consumption and to perform a nutritional assessment. We sampled 20 individuals of demersal (Caulolatilus princeps and Mycteroperca olfax) and pelagic (Thunnus albacares and Seriolella violacea) species. The levels of the toxic elements (Al, B, Ba, Cd, Ni, Pb and Sr), and the macroelements, microelements and trace elements (Ca, Cr, Fe, K, Li, Mn, Mo, Mg, Na, V and Zn) of species muscle tissue were analyzed by Inductively Coupled Plasma Optical Spectrometry (ICP-OES). Demersal species have higher concentrations of Cr, K, Mg and Mo; while pelagic species have higher levels of Zn. M. olfax could potentially cause Cd toxicity so it is recommended not to ingest more than 86 and 73 g of this species (i.e. roughly, one serving) per week for men and women, respectively. None of the species could be marketed in Europe and the USA due to Cd level exceed the allowed limits by EFSA and FAO. Furthermore, the dietary intake of C. princeps is recommended due to its high concentration of Ca, Na, K, Mg and Cr, while T. albacares is recommended for people with Zn deficiency. However, due to the Cd level in C. princeps it is not recommended to ingest more than five servings per week. We attribute the source of metals in the studied fish from the volcanic origin of the islands rather than from human pollution. This is the first study that thoroughly estimate concentration of metals in commercial fish species and its contribution to food security in the Galapagos.",0,2021,10.1016/j.jenvman.2021.112188,WOS:000634987600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no social mechanism,
3,out,out,,WoS,no,J,"Cambra, E; Bello, A; Kayal, M; Lenfant, P; Vasseur, L; Verdoit-Jarraya, M","Cambra, Eleonore; Bello, Alice; Kayal, Mohsen; Lenfant, Philippe; Vasseur, Lauriane; Verdoit-Jarraya, Marion",Holistic investigation of shore angler profiles to support marine protected areas management,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,"Marine Recreational Fishing (MRF) is growing worldwide in scientific interest, as evidenced by the increasing number of dedicated publications. Studies on the impacts and benefits to socio-ecosystems and mental health are driving this gradual awareness. In the Mediterranean, MRF is currently responsible for 10% of the catches though, in the context of small-scale fisheries decline, it may become dominant. Sustaining this activity represents a universal challenge for the future of mankind. However, the potential influence of anglers? heterogeneity on both the environment and the Catch Per Unit of Effort (CPUE), used internationally to evaluate fish harvest and as a stocks indicator, hinders MRF management. In addition, little data is available on onshore fishing, while the number of practitioners may increase sharply in the context of a socio-economic crisis, especially in marine protected areas (MPA). We conducted a year-round survey in 2017?2018 in a French Mediterranean MPA subject to tourist flows, during which 144 onshore anglers were polled by semi-directive interviews. We used a typology based on technical and socio-economic data of anglers to describe their behaviour diversity and its influence on CPUE and, more broadly, the marine environment in multi-species fisheries. We characterised four onshore angler profiles, segregated in space and time, including one identified as at risk of causing impacts. Our analyses support using total and per species CPUE independently of profiles to evaluate onshore MRF harvest, except for four species. CPUE seem based on the profiles? skills and self-regulation which induce similar yields between anglers in the absence of control. This demonstrates the importance of taking into account angler behaviour, as each profile could react differently to management actions and highlights that CPUE could be used to detect the effect of changes in regulation in the framework of adaptive management. Our results support that MRF regulations should be simplified and homogenised at the national level and cooperation with fishing shops in MPA co management should be promoted.",0,2021,10.1016/j.jenvman.2021.112089,WOS:000632613900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no social mechanism,
160,in,in,out,WoS,yes,J,"Tilley, A; Hunnam, KJ; Mills, DJ; Steenbergen, DJ; Govanu, H; Alonso-Poblacion, E; Roscher, M; Pereira, M; Rodrigues, P; Amador, T; Duarte, A; Gomes, M; Cohen, PJ","Tilley, Alexander; Hunnam, Kimberley J.; Mills, David J.; Steenbergen, Dirk J.; Govanu, Hugh; Alonso-Poblacion, Enrique; Roscher, Matthew; Pereira, Mario; Rodrigues, Pedro; Amador, Teresa; Duarte, Agustinha; Gomes, Mario; Cohen, Philippa J.",Evaluating the Fit of Co-management for Small-Scale Fisheries Governance in Timor-Leste,FRONTIERS IN MARINE SCIENCE,,"Fisheries co-management is an increasingly globalized concept, and a cornerstone of the Voluntary Guidelines for Securing Sustainable Small-scale Fisheries in the Context of Food Security and Poverty Eradication, adopted by the United Nations Food and Agriculture Organization member states in 2014. Timor-Leste is a politically young country in the relatively rare position of having underexploited fisheries in some areas that can be leveraged to improve coastal livelihood outcomes and food and nutrition security. The collaborative and decentralized characteristics of co-management appeal to policymakers in Timor-Leste with provisions for co-management and customary laws applied to resource use were incorporated into state law in 2004 and again reinforced in 2012 revisions. The first fisheries co-management pilots have commenced where management arrangements have been codified through tara bandu, a process of setting local laws built around ritual practice that prohibits nominated activities under threat of spiritual and material sanctions. To date, however, there has been little critical evaluation of the suitability or potential effectiveness of co-management or tara bandu in the Timor-Leste fisheries context. To address this gap, we adapted the interactive governance framework to review the ecological, social and governance characteristics of Timor-Leste's fisheries to explore whether co-management offers a valid and viable resource governance model. We present two co-management case studies and examine how they were established, who was involved, the local institutional structures, and the fisheries governance challenges they sought to address. Despite their relative proximity, the two sites contrasted in local ecology and fishery type; community institutions were starkly different but equally strong; and one site had tangible economic benefits to justify compliance, where the other had marginal and anecdotal fishery gains. In our review of the broader governance landscape in Timor-Leste, we see co-management as a useful mechanism to govern small-scale fisheries, but there is a need to connect legitimized local institutions with hierarchical governance of higher and external influences. Initial successes with implementing tara bandu incorporating a small marine closure have stimulated other communities to implement no-take zones - one universally popular but very limited interpretation of co-management. However, we highlight the need for a set of guiding principles to ensure legitimate community engagement, and avoid external appropriation that may reinforce marginalization of certain user groups or customary power hierarchies.",7,2019,10.3389/fmars.2019.00392,WOS:000475393500001,field,perception,2016,LMMA,Adara,1,young,2015,PPA,,0.04,NA,NA,yes,community-based,Timor Leste,tropical,Asia,South China Sea,mix,,,,,,,,,coastal community,assets,economic,income,positive,no,reef tax for tourists in the no take zone,p10,,,,,,,,,,,,,,,,,,,,,,
160,in,in,,WoS,yes,J,"Tilley, A; Hunnam, KJ; Mills, DJ; Steenbergen, DJ; Govanu, H; Alonso-Poblacion, E; Roscher, M; Pereira, M; Rodrigues, P; Amador, T; Duarte, A; Gomes, M; Cohen, PJ","Tilley, Alexander; Hunnam, Kimberley J.; Mills, David J.; Steenbergen, Dirk J.; Govanu, Hugh; Alonso-Poblacion, Enrique; Roscher, Matthew; Pereira, Mario; Rodrigues, Pedro; Amador, Teresa; Duarte, Agustinha; Gomes, Mario; Cohen, Philippa J.",Evaluating the Fit of Co-management for Small-Scale Fisheries Governance in Timor-Leste,FRONTIERS IN MARINE SCIENCE,,"Fisheries co-management is an increasingly globalized concept, and a cornerstone of the Voluntary Guidelines for Securing Sustainable Small-scale Fisheries in the Context of Food Security and Poverty Eradication, adopted by the United Nations Food and Agriculture Organization member states in 2014. Timor-Leste is a politically young country in the relatively rare position of having underexploited fisheries in some areas that can be leveraged to improve coastal livelihood outcomes and food and nutrition security. The collaborative and decentralized characteristics of co-management appeal to policymakers in Timor-Leste with provisions for co-management and customary laws applied to resource use were incorporated into state law in 2004 and again reinforced in 2012 revisions. The first fisheries co-management pilots have commenced where management arrangements have been codified through tara bandu, a process of setting local laws built around ritual practice that prohibits nominated activities under threat of spiritual and material sanctions. To date, however, there has been little critical evaluation of the suitability or potential effectiveness of co-management or tara bandu in the Timor-Leste fisheries context. To address this gap, we adapted the interactive governance framework to review the ecological, social and governance characteristics of Timor-Leste's fisheries to explore whether co-management offers a valid and viable resource governance model. We present two co-management case studies and examine how they were established, who was involved, the local institutional structures, and the fisheries governance challenges they sought to address. Despite their relative proximity, the two sites contrasted in local ecology and fishery type; community institutions were starkly different but equally strong; and one site had tangible economic benefits to justify compliance, where the other had marginal and anecdotal fishery gains. In our review of the broader governance landscape in Timor-Leste, we see co-management as a useful mechanism to govern small-scale fisheries, but there is a need to connect legitimized local institutions with hierarchical governance of higher and external influences. Initial successes with implementing tara bandu incorporating a small marine closure have stimulated other communities to implement no-take zones - one universally popular but very limited interpretation of co-management. However, we highlight the need for a set of guiding principles to ensure legitimate community engagement, and avoid external appropriation that may reinforce marginalization of certain user groups or customary power hierarchies.",7,2019,10.3389/fmars.2019.00392,WOS:000475393500001,field,perception,2016,LMMA,Adara,1,young,2015,PPA,,0.04,NA,NA,yes,community-based,Timor Leste,tropical,Asia,South China Sea,mix,,,,,,,,,coastal community,agency,,consultation,positive,no,"""consultative processes were facilitated by the aldeia chef""",p10,,,,,,,,,,,,,,,,,,,,,,
160,in,in,,WoS,yes,J,"Tilley, A; Hunnam, KJ; Mills, DJ; Steenbergen, DJ; Govanu, H; Alonso-Poblacion, E; Roscher, M; Pereira, M; Rodrigues, P; Amador, T; Duarte, A; Gomes, M; Cohen, PJ","Tilley, Alexander; Hunnam, Kimberley J.; Mills, David J.; Steenbergen, Dirk J.; Govanu, Hugh; Alonso-Poblacion, Enrique; Roscher, Matthew; Pereira, Mario; Rodrigues, Pedro; Amador, Teresa; Duarte, Agustinha; Gomes, Mario; Cohen, Philippa J.",Evaluating the Fit of Co-management for Small-Scale Fisheries Governance in Timor-Leste,FRONTIERS IN MARINE SCIENCE,,"Fisheries co-management is an increasingly globalized concept, and a cornerstone of the Voluntary Guidelines for Securing Sustainable Small-scale Fisheries in the Context of Food Security and Poverty Eradication, adopted by the United Nations Food and Agriculture Organization member states in 2014. Timor-Leste is a politically young country in the relatively rare position of having underexploited fisheries in some areas that can be leveraged to improve coastal livelihood outcomes and food and nutrition security. The collaborative and decentralized characteristics of co-management appeal to policymakers in Timor-Leste with provisions for co-management and customary laws applied to resource use were incorporated into state law in 2004 and again reinforced in 2012 revisions. The first fisheries co-management pilots have commenced where management arrangements have been codified through tara bandu, a process of setting local laws built around ritual practice that prohibits nominated activities under threat of spiritual and material sanctions. To date, however, there has been little critical evaluation of the suitability or potential effectiveness of co-management or tara bandu in the Timor-Leste fisheries context. To address this gap, we adapted the interactive governance framework to review the ecological, social and governance characteristics of Timor-Leste's fisheries to explore whether co-management offers a valid and viable resource governance model. We present two co-management case studies and examine how they were established, who was involved, the local institutional structures, and the fisheries governance challenges they sought to address. Despite their relative proximity, the two sites contrasted in local ecology and fishery type; community institutions were starkly different but equally strong; and one site had tangible economic benefits to justify compliance, where the other had marginal and anecdotal fishery gains. In our review of the broader governance landscape in Timor-Leste, we see co-management as a useful mechanism to govern small-scale fisheries, but there is a need to connect legitimized local institutions with hierarchical governance of higher and external influences. Initial successes with implementing tara bandu incorporating a small marine closure have stimulated other communities to implement no-take zones - one universally popular but very limited interpretation of co-management. However, we highlight the need for a set of guiding principles to ensure legitimate community engagement, and avoid external appropriation that may reinforce marginalization of certain user groups or customary power hierarchies.",7,2019,10.3389/fmars.2019.00392,WOS:000475393500001,field,perception,2016,LMMA,Adara,1,young,2015,PPA,,0.04,NA,NA,yes,community-based,Timor Leste,tropical,Asia,South China Sea,mix,,,,,,,,,coastal community,agency,,decision making,positive,no,decision groups and votes from villagers,p10,,,,,,,,,,,,,,,,,,,,,,
768,in,in,,other,yes,J,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",,,,,2008,,,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,,fish,mix,fished,,,,fishery,agency,,user rights,negative,yes,% interviewees,table 3,,,,,,,,,,,,,,,,,,,,,,
6,out,out,,WoS,no,J,"Shackell, NL; Keith, DM; Lotze, HK","Shackell, Nancy L.; Keith, David M.; Lotze, Heike K.",Challenges of Gauging the Impact of Area-Based Fishery Closures and OECMs: A Case Study Using Long-Standing Canadian Groundfish Closures,FRONTIERS IN MARINE SCIENCE,,"The United Nations Convention on Biological Diversity was established in 1993. Canada is a signatory nation that has adopted, and exceeded, the UN Aichi biodiversity target to protect 10% of coastal and marine areas through marine protected areas or other effective area-based conservation measures (OECMs) by 2020. However, the science of OECMs as contributors to biodiversity conservation is relatively young and their definition and efficacy testing continue to evolve. Here, we examine whether areas closed to fishing on the Scotian Shelf in Atlantic Canada, where the groundfish community had collapsed in the early 1990s, have the potential to serve as OECMs for groundfish recovery. Using long-term research survey data, we show that three long-term area-based fishing fleet closures did not enhance per capita population growth rates of the majority of 24 common groundfish species. At a regional scale, 10 out of 24 species are currently at less than 50% of their pre-collapse (1979-1992) biomass, reflecting a sustained diminished productivity, even though fishing mortality has been drastically reduced through a moratorium in 1993. Additional measures are needed to protect severely depleted groundfish, especially when the causes of continued diminished productivity are still largely unresolved. The importance of OECMs as a risk-averse approach toward sustainability is globally accepted and they can be considered a tool toward the overarching UN Sustainable Development Goals (SDG-14). Our study provides further impetus toward articulating the criteria of OECMs and improving their design, monitoring, and testing, while placing OECMs within the broader context of sustainable ecosystem-based management.",0,2021,10.3389/fmars.2021.612859,WOS:000639205700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spillover but not catches,
7,in,out,,WoS,yes,J,"Partelow, S; Jager, A; Schluter, A","Partelow, Stefan; Jaeger, Anne; Schluter, Achim",Linking Fisher Perceptions to Social-Ecological Context: Mixed Method Application of the SES Framework in Costa Rica,HUMAN ECOLOGY,,"There are few studies about how social-ecological context is linked to actor perceptions in environmental governance, although it is evident that resource use behavior, participatory processes, rule compliance, and cooperation are influenced by actors' perceptions. We apply and combine Ostrom's social-ecological systems framework (SESF) and Bennett's (2016) perception framework to identify the contextual variables influencing different perceptions in a case study of small-scale fisheries co-management in Costa Rica implementing a marine protected area. Analytically, we use network analysis tools to analyze qualitative interview data in a way that links the two frameworks, and content analysis to provide contexutally meaningful descriptions of those network patterns in practice. Our findings suggest Bennett's perceptions framework can be expanded and that the SESF is useful to identify how perceptions relate to more social and ecological variables than prior research suggests. Our findings demonstrate the importance of understanding perceptions and context in environmental governance analyses and practice. We conclude with reflections on local policy challenges.",0,,10.1007/s10745-021-00228-x,WOS:000633255500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social mechanisms direction not assessed
8,out,out,,WoS,no,J,"Kyvelou, SSI; Ierapetritis, DG","Kyvelou, Stella Sofia I.; Ierapetritis, Dimitrios G.","Fostering Spatial Efficiency in the Marine Space, in a Socially Sustainable Way: Lessons Learnt From a Soft Multi-Use Assessment in the Mediterranean",FRONTIERS IN MARINE SCIENCE,,"In a context of growing claim for marine space and in the pursuit of maritime ?spatial efficiency,? Multi-use (MU) becomes necessary to assemble more or less compatible sea uses. In this paper, the potential of the soft MU involving small-scale fisheries (SSF), tourism, and nature conservation related to marine protected areas (MPAs), widely encountered in the Mediterranean Sea basin, is being assessed in Greece. Despite the fact that the MU concept is not yet included neither in maritime spatial planning (MSP) laws nor in strategic policy documents due mainly to the dominance of terrestrial spatial plans that favor exclusive rights of highly competitive and expansive maritime activities (e.g., aquaculture), the above MU is increasingly being practiced by local communities as a socio-economic instrument (fishing tourism), able to be also occasionally oriented to nature conservation. Following the Drivers, Added Values, Barriers and Negative Impacts (DABI) analysis, a spectrum of challenges/constraints and opportunities for the application of the MU under study was revealed, grouped in socio-economic, environmental, political?regulatory, and technological factors that can enable or undermine this MU in the Greek seas. The paper concludes that there is a huge potential for the said MU development in areas dependent on fisheries, consistently to the longstanding SSF tradition that despite its decline, continues to be one of the most important among those practiced in the coastal zone and in remote and insular communities, essentially defining their particular social and cultural identity. Besides, SSF have low environmental impact, and also tourists and the local communities are gradually becoming more conservation-oriented. Hence, the MU is highlighted as a tool for sustainable use of marine space supporting the Blue Growth Agenda and reconnecting natural and cultural capital at sea, thus redefining also the role of fishers that under equitable conditions may become defenders of marine biodiversity and key actors for the sustainable management of fish stocks and ecosystems in the protected areas.",0,2021,10.3389/fmars.2021.613721,WOS:000635482200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrative but not primary research,
