ID,OUTabstract,OUTtext,outMA,comment/justification out,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,MPAscore,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,subindicator,indicator,data origin,direction,quantitative,unit,error type,BeforeMPA_value,BeforeMPA_samplesize,BeforeMPA_errorRaw,BeforeMPA_SD,BeforeControl_value,BeforeControl_samplesize,BeforeControl_errorRaw,BeforeControl_SD, AfterMPA_value,AfterMPA_samplesize,AfterMPA_errorRaw,AfterMPA_SD,AfterControl_value,AfterControl_samplesize,AfterControl_errorRaw,AfterControl_SD,ei,vei,general comment
1,out,out,out,no control;model,WoS,.,J,"Kyprioti, Amalia; Almpanidou, Vasiliki; Chatzimentor, Anastasia; Katsanevakis, Stelios; Mazaris, Antonios D.","Kyprioti, Amalia; Almpanidou, Vasiliki; Chatzimentor, Anastasia; Katsanevakis, Stelios; Mazaris, Antonios D.",Is the current Mediterranean network of marine protected areas resilient to climate change?,SCIENCE OF THE TOTAL ENVIRONMENT,.,"Rising ocean temperature impacts the functionality and structure of ecosystems, further triggering the redistribution of biodiversity. Still, the magnitude and anticipated impacts of ocean warming are not expected to be uniform across marine space. Here, we developed a two-fold index-based approach to provide an integrated climatic vulnerability assessment of the marine surfaces which are enclosed within protected areas in the Mediterranean Sea. We first built a climatic stability index, based on metrics of analog-based velocity of climate change over a 120-year period (1950-2069), to assess patterns of climate dynamics within the marine protected surfaces. To provide a vulnerability ranking of protected surfaces under climate change, we combined this climate-related index with an index of community stability, reflecting the projected distribution shifts of 71 species of high conservation value. Our analyses revealed a highly heterogeneous and dynamic climatic space, with increasing but spatially inconsistent patterns of climate change velocities over successive 30-year periods. We found that about 62% of the protected marine surface might be subjected to low/very low climatic stability. About 70% of the protected waters were also found to be of limited community stability. Thus, protected surfaces across the Mediterranean basin were characterized by high vulnerability under changing climatic conditions, while only 5.7% of them exhibited high and very high stability based on both indices. Our findings suggest that combining information on climate change dynamics and biotic stability could offer spatially explicit insights which cannot be obtained based simply on the ecological dimensions of conservation planning. (c) 2021 Elsevier B.V. All rights reserved.",0,2021,10.1016/j.scitotenv.2021.148397,WOS:000691061000007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,variability,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,no control;model
44,in,in,in,good reference indicator for temporal stability,WoS,yes,J,"Alonso Aller, Elisa; Jiddawi, Narriman S.; Eklof, Johan S.","Alonso Aller, Elisa; Jiddawi, Narriman S.; Eklof, Johan S.","Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities",PLOS ONE,,"Marine protected areas (MPAs) have been shown to increase long-term temporal stability of fish communities and enhance ecosystem resilience to anthropogenic disturbance. Yet, the potential ability of MPAs to buffer effects of environmental variability at shorter time scales remains widely unknown. In the tropics, the yearly monsoon cycle is a major natural force affecting marine organisms in tropical regions, and its timing and severity are predicted to change over the coming century, with potentially severe effects on marine organisms, ecosystems and ecosystem services. Here, we assessed the ability of MPAs to buffer effects of monsoon seasonality on seagrass-associated fish communities, using a field survey in two MPAs (no-take zones) and two unprotected (open-access) sites around Zanzibar (Tanzania). We assessed the temporal stability of fish density and community structure within and outside MPAs during three monsoon seasons in 2014-2015, and investigated several possible mechanisms that could regulate temporal stability. Our results show that MPAs did not affect fish density and diversity, but that juvenile fish densities were temporally more stable within MPAs. Second, fish community structure was more stable within MPAs for juvenile and adult fish, but not for subadult fish or the total fish community. Third, the observed effects may be due to a combination of direct and indirect (seagrass-mediated) effects of seasonality and, potentially, fluctuating fishing pressure outside MPAs. In summary, these MPAs may not have the ability to enhance fish density and diversity and to buffer effects of monsoon seasonality on the whole fish community. However, they may increase the temporal stability of certain groups, such as juvenile fish. Consequently, our results question whether MPAs play a general role in the maintenance of biodiversity and ecosystem functioning under changing environmental conditions in tropical seagrass fish communities.",6,2017,10.1371/journal.pone.0183999,WOS:000408693600076,field,CI,2014-2015,MPA,mix,13 and 21,old,1994 and 2002,fully,1 to 3,mix,mix,small,NA,Tanzania,tropical,Africa,Indian Ocean,mix,NA,ecological,fish,mix,mix,mix,,,,variability,,distance to centroid,stability,figure 8,positive,yes,NA,confidence interval 95%,,,,,,,,,0.1904,60,0.176,0.6955562,0.27,51.00,0.18,0.6529306,0.338870319,,
3,in,out,out,no control,WoS,yes,J,"Edullantes, Brisneve; Maglangit, Fleurdeliz; Ortiz, Angelito M.; Casibo, Joana Mie R.; Vicentuan, Lorraine Louise C.; Bensig, Eukene O.","Edullantes, Brisneve; Maglangit, Fleurdeliz; Ortiz, Angelito M.; Casibo, Joana Mie R.; Vicentuan, Lorraine Louise C.; Bensig, Eukene O.","A benchmark survey of plankton, fish and benthic composition in Poblacion and Kadurong Reefs in Liloan, Cebu, Philippines",BIODIVERSITY DATA JOURNAL,,"Coral reefs offer valuable ecosystem goods and services, such as coastal protection, erosion regulation, fishery, biodiversity, habitat and nursery grounds. However, they face threats from anthropogenic activities, including poor water quality, global warming, coastal development and unsustainable fisheries. Marine Protected Areas (MPAs) provide a structured and holistic approach in addressing these threats. Regular monitoring and assessment of these MPAs are crucial components in evaluating the MPAs design and effectiveness. Two coral reefs (i.e. Poblacion and Kadurong Reefs) were established as MPAs in Liloan, Cebu, Philippines to protect crucial habitat and biodiversity with the hope of improving fisheries by avoiding fish stock disintegration. These coral reefs provide shelter to many commercially-significant fish species, supporting subsistence and livelihood in the community. These MPAs are not only biologically rich, but they also support socio-economic stability. Hence, management and protection of the coral reefs in the MPAs of Liloan, Cebu is of paramount importance. To formulate conservation and applicable management measures, research and monitoring should be in place. This paper presents the data collected from the short term monitoring in the Poblaction and Kadurong Reefs. The paper describes an important set of data that can be used by the stakeholders to benchmark biophysical assessments for management of marine-protected areas in Liloan. New information This data paper provides baseline information on the health of the coral reefs of the MPAs in Liloan, Cebu. Datasets covering physico-chemical and biological parameters inclusive of water quality, coral reef cover, fish and plankton occurrence and abundance were determined using the standard protocols for surveying tropical marine resources. The results will serve as a benchmark in formulating guidelines and implementing relevant policies for the effective management and protection of the MPAs in Liloan, Cebu, Philippines.",0,2021,10.3897/BDJ.9.e72537,WOS:000705088000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,out,out,out,not MPAs,WoS,,J,"Takashina, Nao","Takashina, Nao",Long-Term Conservation Effects of Protected Areas in Stochastic Population Dynamics,FRONTIERS IN ECOLOGY AND EVOLUTION,,"Terrestrial and marine protected areas are essential tools in mitigating anthropogenic impacts and promoting population persistence and resource sustainability. Adequately implemented protected areas (PAs) aim to promote conservation by increasing population size and reducing its variability. To resolve how these effects depend on PA features, I develop and analyze new models of stochastic processes that encompass the fluctuations generated by demographic or environmental stochasticity in PAs management. The stochastic model is built upon individual processes. In the model, density-independent mortality, migration between PAs and non-PAs, organism preference for PAs, and size characterize the features of the PA. The effect of PAs size is also examined. The long-term conservation effects are quantified using the coefficient of variation (CV) of population size in PAs, where a lower CV indicates higher robustness in stochastic variations. The results from this study demonstrate that sufficiently reduced density-independent mortality in PAs and high site preference for PAs and immigration rate into PAs are likely to decrease the CV. However, different types of stochasticity induce rather different consequences: under demographic stochasticity, the CV is always reduced because PAs increase the population size therein, but an increased population size by PAs does not always decrease the CV under environmental stochasticity. The deterministic dynamics of the model are investigated, facilitating effective management decisions.</p>",0,2021,10.3389/fevo.2021.672608,WOS:000697972900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,out,out,out,no MPAs,WoS,,J,"Marengo, Michel; Iborra, Laura; Leduc, Michele; Lejeune, Pierre; Boissery, Pierre; Gobert, Sylvie","Marengo, Michel; Iborra, Laura; Leduc, Michele; Lejeune, Pierre; Boissery, Pierre; Gobert, Sylvie",Assessing Spatial and Temporal Trends in a Mediterranean Fish Assemblage Structure,DIVERSITY-BASEL,,"Coastal fishes are not only valuable elements of marine biodiversity, but they also play an important ecological role in the functioning of coastal ecosystems: food resource, transfer of nutrients, predators. Therefore, data on the compositions of fish assemblages are of great importance. The objectives of the present study were to (i) define the faunistic characteristics of a typical fish community on the Mediterranean coast; (ii) investigate spatiotemporal changes in fish assemblages. Based on a set of indices (Fast protocol) and a long-term data set (6 years, 612 visual counts, 154 h of diving), changes in coastal fish communities were analyzed. Our results indicated that there was a significant shift in fish community structure, with a general decline of the calculated indices. In our study, part of the observed variability in fish assemblage structure could be due to different factors as site location and sampled year. The changes in the fish assemblages associated with inter-annual fluctuations observed in this study also provide important insights into how fish communities may change under environmental and anthropogenic influences.",0,2021,10.3390/d13080368,WOS:000688960300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,in,out,out,no control temporal series,WoS,yes,J,"Choi, Emma S.; Furtado, Laura E.; Burton, Ronald S.","Choi, Emma S.; Furtado, Laura E.; Burton, Ronald S.",Spatial and temporal variation in the species diversity of coastal California fish eggs,MARINE ECOLOGY PROGRESS SERIES,,"Ichthyoplankton studies can be used to assess the abundance, distribution, and reproductive activity of marine fishes, but few studies have monitored spawning activity at inshore sites. This study utilized weekly plankton sampling to construct a year-long time series of fish spawning at 6 pier sites along the California coast-Santa Cruz, San Luis Obispo, Santa Barbara, Santa Monica, Newport Beach, and La Jolla; sampling at the La Jolla site continues ongoing monitoring initiated in 2012. Fish eggs were sorted from the collected plankton and identified to species level using DNA barcoding of the COI and 16S genes. While only one year of data has been collected from 5 of the sites, the 2 sites north of Point Conception show markedly reduced diversity compared to the southern sites. Although the species observed reflect the local environment of each site, this pattern of reduced diversity at the northern sites is consistent with the well-documented decline in species richness with latitude along the California coast. The 7-year time series from La Jolla has revealed that spawning activity varies greatly among years, both in terms of egg production and species diversity, with a continuing trend of highest egg numbers in years with colder average winter sea surface temperature.",0,2021,10.3354/meps13723,WOS:000672774400010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,in,out,out,no measure of temporal variability or stability,WoS,yes,J,"Bertocci, Iacopo; De Oliveira Martins, Marta Isabel; Meyer, Hugo Sainz; Gomez, Oscar Babe; Maggi, Elena; Arenas, Francisco","Bertocci, Iacopo; De Oliveira Martins, Marta Isabel; Meyer, Hugo Sainz; Gomez, Oscar Babe; Maggi, Elena; Arenas, Francisco",Resurvey of sea urchins and mussels at protected and harvested shores a decade after: A beyond-BACI approach,MARINE ENVIRONMENTAL RESEARCH,,"Comparing temporal patterns of distribution and abundance of target organisms between protected and harvested shores is essential to assess the extant effectiveness of marine protected areas (MPAs) and whether it is maintained through time. By means of an adapted Beyond-BACI approach, we compared the short- and long-term patterns of variation in the abundance of the sea urchin Paracentrotus lividus and the mussel Mytilus galloprovincialis at a protected shore (within the Parque Litoral Norte MPA, Portugal) and at three adjacent shores subject to intense harvesting over a decadal interva Despite the existence of the MPA for more than 30 years, we did not obtain clear evidence of its persistent or recent effectiveness on intertidal species of commercial interest. We suggest the need for refining management options along the northern Portuguese coast, possibly by better enforcing current regulations and reconsidering the present design of protection schemes. Moreover, the adopted analytical approach may represent a methodological reference for similar investigations in systems where the perturbation of interest (protection or disturbance) would not occur at a given time during the course of the study, but has been operating since before the first sampling occasion and maintained until subsequent surveys.",0,2021,10.1016/j.marenvres.2021.105347,WOS:000675834600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,in,out,out,no control,WoS,yes,J,"Desidera, Elena; Trainito, Egidio; Navone, Augusto; Blandin, Remi; Magnani, Luana; Panzalis, Pieraugusto; Mazzoldi, Carlotta; Guidetti, Paolo","Desidera, Elena; Trainito, Egidio; Navone, Augusto; Blandin, Remi; Magnani, Luana; Panzalis, Pieraugusto; Mazzoldi, Carlotta; Guidetti, Paolo","Using complementary visual approaches to investigate residency, site fidelity and movement patterns of the dusky grouper (Epinephelus marginatus) in a Mediterranean marine protected area",MARINE BIOLOGY,,"Assessing individuals' abundance, residency (presence at a site within a certain period) and site fidelity (tendency to return to the same site in subsequent seasons or years) is crucial for evaluating and improving the effectiveness of spatial conservation/management measures regarding ecologically and socio-economically valuable species. Using underwater visual census (UVC) and photo-identification (photo-ID) techniques, we estimated the abundance, residency and site fidelity of the dusky grouper, Epinephelus marginatus, at two protected sites within the Tavolara-Punta Coda Cavallo Marine Protected Area (Sardinia, Italy) in the summers of 2017-2018. The scope and spatio-temporal resolution of the study was extended by involving volunteer recreational divers in the photo collection. Grouper mean densities varied significantly across sampling dates, with a significant variability between the 2 years and the two investigated sites. At least 94 grouper visited the study sites in the summers of 2017-2018 based on the analysis of 968 high-quality photos using a semi-automated software to photo-identify individuals. Overall, the most frequently sighted grouper was recorded on 32 different days and 21 individuals (22%) identified in 2017 were re-sighted in 2018. The participation of volunteer recreational divers helped detect the inter-site (3.5-4 km apart) movements of a female and a male, supporting previous findings regarding the occurrence of reproduction-related movements. This study provides novel insights into the residency and site-fidelity patterns of the dusky grouper, and its small-scale movements probably related to reproduction. Specifically, we provide indications that effective protection from fishing should encompass the entire area used by grouper for reproductive movements.",0,2021,10.1007/s00227-021-03917-9,WOS:000663539200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,out,out,out,fish movement within MPA,WoS,,J,"Brazo, A.; Marques, R.; Zimmermann, M.; Aspillaga, E.; Hereu, B.; Saragoni, G.; Merciere, A.; Crec'Hriou, R.; Mercader, M.; Verdoit-Jarraya, M.; Cadene, F.; Lenfant, P.","Brazo, A.; Marques, R.; Zimmermann, M.; Aspillaga, E.; Hereu, B.; Saragoni, G.; Merciere, A.; Crec'Hriou, R.; Mercader, M.; Verdoit-Jarraya, M.; Cadene, F.; Lenfant, P.",Seasonal influence on the bathymetric distribution of an endangered fish within a marine protected area,SCIENTIFIC REPORTS,,"The spatio-temporal variability of fish distribution is important to better manage and protect the populations of endangered species. In this sense, the vertical movements of a vulnerable and protected species, Sciaena umbra, were assessed in a marine protected area (the Reserve Naturelle Marine de Cerbere-Banyuls, south of France) to study the variability of their bathymetric distribution at different time scales. Twenty adults were marked with acoustic transmitters and acoustically monitored over 2.5 years. This revealed that some individuals remained at shallow waters (<8 m) all year round, while others presented vertical segregation at deeper waters during the cold months (mean depth of 22.5<plus/minus>0.04 m) and all aggregated in shallow waters during the warm months. The brown meagre was more active during the night, except in June and July when peaks of activity were observed at dusk. These patterns are likely associated with foraging and reproductive behavior during the cold and warm periods, respectively, and likely regulated by water temperature and the depth of the thermocline. Here, we provide valuable information on when and where in the water column critical periods of S. umbra life cycle are expected to occur, which should be considered in management and protection plans.",0,2021,10.1038/s41598-021-92633-x,WOS:000669452600024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,in,out,out,no control,WoS,yes,J,"Gazulla, Carlota R.; Lopez-Sendino, Paula; Antunes, Agostinho; Aurelle, Didier; Montero-Serra, Ignasi; Dominici, Jean-Marie; Linares, Cristina; Garrabou, Joaquim; Ledoux, Jean-Baptiste","Gazulla, Carlota R.; Lopez-Sendino, Paula; Antunes, Agostinho; Aurelle, Didier; Montero-Serra, Ignasi; Dominici, Jean-Marie; Linares, Cristina; Garrabou, Joaquim; Ledoux, Jean-Baptiste","Demo-Genetic Approach for the Conservation and Restoration of a Habitat-Forming Octocoral: The Case of Red Coral, Corallium rubrum, in the Reserve Naturelle de Scandola",FRONTIERS IN MARINE SCIENCE,,"Marine protected areas (MPAs) are one of the most efficient conservation tools to buffer marine biodiversity loss induced by human activities. Beside effective enforcement, an accurate understanding of the eco-evolutionary processes underlying the patterns of biodiversity is needed to reap the benefits of management policies. In this context, integrating population genetics with demographic data, the demo-genetic approach, is particularly relevant to shift from a species-based pattern toward an eco-evolutionarybased processes conservation. Here, targeting a key species in the Mediterranean coralligenous, the red coral, Corallium rubrum, in an emblematic Mediterranean MPA, the Reserve Naturelle de Scandola (France), we applied demo-genetic approaches at two contrasted spatial scales, among populations and within one population, to (i) infer the demographic connectivity among populations in the metapopulation network and (ii) shed new light on the genetic connectivity and on the demographic transitions underlying the dynamics of a near-pristine population. Integrating different spatial and temporal scales, we demonstrated (i) an apparent temporal stability in the pattern of genetic diversity and structure in the MPA in spite of a dramatic demographic decline and (ii) contrasted levels of genetic isolation but substantial demographic connectivity among populations. Focusing on the near-pristine population, we complemented the characterization of red coral demographic connectivity suggesting (iii) temporal variability and (iv) the occurrence of collective dispersal. In addition, we demonstrated (v) contrasted patterns of spatial genetic structure (SGS), depending on the considered stage-class (adults vs. juveniles), in the near-pristine population. This last result points out that the overall SGS resulted from a restricted dispersal of locally produced juveniles (SGS among adults and juveniles) combined to mortality during early life stages (decrease of SGS from juveniles to adults). Demonstrating the occurrence of two management units and the importance of two populations (CAVB and ALE) for the network of connectivity, we made recommendations for the management of the Reserve Naturelle de Scandola. Besides, we contributed to the implementation of scientifically driven restoration protocols in red coral by providing estimates for the size, density, and distances among patches of transplanted colonies.<comment>Superscript/Subscript Available</comment",1,2021,10.3389/fmars.2021.633057,WOS:000664180500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
