ID,outText,outMA,source,PDF,Authors,Author Full Names,Article Title,ID2,Year,studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,FPAsize,MPAsize,Size,enforcement,governance,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,inMPA,stakeholder,mechanism,indicator,DataOrigin,direction,quantitative,unit,errortype,BeforeMPAvalue,BeforeMPAsample,BeforeMPAerror,BeforeMPA_SD,BeforeControlvalue,BeforeControlsample,BeforeControlerror,BeforeControl_SD,AfterMPAvalue,AfterMPA_samplesize,AfterMPAerror,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerror,AfterControl_SD,ei,vei,comment
410,in,out,other,yes,"Manfrino, Carrie; Jacoby, Charles A.; Camp, Emma; Frazer, Thomas K.","Manfrino, Carrie; Jacoby, Charles A.; Camp, Emma; Frazer, Thomas K.",A Positive Trajectory for Corals at Little Cayman Island,1,2013,field,.,.,.,Little Cayman,.,.,.,.,.,.,.,.,,Cayman Islands,tropical,Central America,Caribbean sea,coral reef,,ecological,coral,mix,no,no,.,,.,reproduction,recruitment,table 2,neutral,yes,juveniles m-2,NA,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,unextractable data for juveniles (coral colonies with diameter <2cm)
1,in,in,WoS,yes,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,2,2021,field,CI,2018,MPA,Lombok Island,mix,mix,mix,fully,mix,mix,mix,NA,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,,,biodiversity,species richness,Supplementary information,neutral,yes,number,SD,,,,,,,,,17.2,5,6.55,6.55,18,4,6.041522987,6.041522987,-0.045462374,0.057206306,eDNA based
1,in,in,WoS,yes,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,2,2021,field,CI,2018,MPA,Lombok Island,mix,mix,mix,low?,mix,mix,mix,NA,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,,,biodiversity,species richness,Supplementary information,neutral,yes,number,SD,,,,,,,,,18,5,3.35,3.35,18,4,6.041522987,6.041522987,0,0.03507716,eDNA based
1,in,in,WoS,yes,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,2,2021,field,CI,2018,MPA,Lombok Island,mix,mix,mix,fully,mix,mix,mix,NA,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,,,biodiversity,shannon,Figure 6,neutral,yes,number,SD,,,,,,,,,1.28,10,0.68,0.68,0.910889399,8,0.441369912,0.441369912,0.337254698,0.057915449,eDNA based
1,in,in,WoS,yes,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,2,2021,field,CI,2018,MPA,Lombok Island,mix,mix,mix,low?,mix,mix,mix,NA,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,,,biodiversity,shannon,Figure 6,neutral,yes,number,SD,,,,,,,,,1.47,9,0.82,0.82,0.910889399,8,0.441369912,0.441369912,0.479248769,0.063474387,eDNA based
15,in,out,WoS,yes,"Portugal, Adriana Brizon; Carvalho, Fabricio Lopes; de Oliveira Soares, Marcelo; Horta, Paulo Antunes; de Castro Nunes, Jose Marcos","Portugal, Adriana Brizon; Carvalho, Fabricio Lopes; de Oliveira Soares, Marcelo; Horta, Paulo Antunes; de Castro Nunes, Jose Marcos",Structure of macroalgal communities on tropical rocky shores inside and outside a marine protected area,3,2017,field,CI,2010,MPA,Setiba,NA,NA,NA,NA,NA,69,medium,NA,,Brazil,tropical,South America,South Atlantic Ocean,rocky reef,,ecological,algae,,,,,,,biodiversity,species richness,Results 3,positive,yes,median number per transect,first and third quantiles,,,,,,,,,,,,,,,,,,,values are indicated in a boxplot
44,in,in,WoS,yes,"Alonso Aller, Elisa; Jiddawi, Narriman S.; Eklof, Johan S.","Alonso Aller, Elisa; Jiddawi, Narriman S.; Eklof, Johan S.","Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities",4,2017,field,CI,2014-2015,MPA,mix,13 and 21,old,1994 and 2002,fully,mix,mix,small,NA,,Tanzania,tropical,Africa,Indian Ocean,mix,NA,ecological,fish,mix,mix,mix,,,,stability,stability,figure 8,positive,yes,NA,confidence interval 95%,,,,,,,,,0.1904,60,0.176,0.6955562,0.2672,51,0.1792,0.6529306,0.338870319,,distance to centroid
288,in,in,Pers,yes,"Elisa Alonso Aller1 *, Narriman S. Jiddawi2 , Johan S. Eklo¨f 1","Elisa Alonso Aller1 *, Narriman S. Jiddawi2 , Johan S. Eklo¨f 2","Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities",4,2017,field,CI,2015,MPA,Chumbe and Mnemba,mix,old,mix,fully,mix,mix,small,NA,community-based,Tanzania,tropical,Africa,West Indian  Ocean,seagrass,,ecological,fish,,,,,,,biodiversity,shannon,Figure 5,neutral,yes,number,CI,,,,,,,,,1.96,51,0.18,0.421850925,1.890151515,60,0.188701366,0.434397705,0.037369147,0.00178665,
288,in,in,Pers,yes,"Elisa Alonso Aller1 *, Narriman S. Jiddawi2 , Johan S. Eklo¨f 1","Elisa Alonso Aller1 *, Narriman S. Jiddawi2 , Johan S. Eklo¨f 2","Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities",4,2017,field,CI,2015,MPA,Chumbe and Mnemba,mix,old,mix,fully,mix,mix,small,NA,community-based,Tanzania,tropical,Africa,West Indian  Ocean,seagrass,,ecological,fish,,,,,,,biodiversity,species richness,Figure 5,positive,yes,number,CI,,,,,,,,,12.27,51,4.17,2.042803306,10.90243902,60,4.489202344,2.118773783,0.118031576,0.001173108,
44,in,in,WoS,yes,"Wennerstrom, Lovisa; Jansson, Eeva; Laikre, Linda","Wennerstrom, Lovisa; Jansson, Eeva; Laikre, Linda",Baltic Sea genetic biodiversity: Current knowledge relating to conservation management,5,2017,synthesis,CI,2016,MPA,HELCOM,mix,mix,mix,mix,mix,mix,mix,NA,.,mix,temperate,Europe,Baltic sea,mix,.,ecological,fish,mix,fished,predator,.,,,genetic,expected heterozygosity,table 4,neutral,yes,number,variance,,,,,,,,,NA,8,not found,not found,NA,8,not found,not found,,,see particular excel sheet for calculations
44,in,in,WoS,yes,"Wennerstrom, Lovisa; Jansson, Eeva; Laikre, Linda","Wennerstrom, Lovisa; Jansson, Eeva; Laikre, Linda",Baltic Sea genetic biodiversity: Current knowledge relating to conservation management,5,2017,synthesis,CI,2016,MPA,HELCOM,mix,mix,mix,mix,mix,mix,mix,NA,.,mix,temperate,Europe,Baltic sea,mix,.,ecological,fish,mix,fished,predator,.,,,genetic,allelic richness,table 4,neutral,yes,number,variance,,,,,,,,,NA,8,not found,not found,NA,8,not found,not found,0.0284,,see particular excel sheet for calculations
168,in,out,other,yes,Babcok et al,Babcok et al,Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects,6,2010,field,CI,NA,MPA,Apo Island,26,old,NA,highly,NA,5.9,medium,NA,,Philippines,tropical,Asia,Coral sea,mix,NA,ecological,mix,mix,mix,mix,,,,stability,stability,figure 1 & 2,ambiguous,,,,,,,,,,,,,,,,,,,,,,CV data not available and inconsistency in calculating them from time series when not done for others 
168,in,out,other,yes,Babcok et al,Babcok et al,Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects,6,2010,field,CI,NA,MPA,Anacapa Island,30,old,2003,fully,NA,59.7,medium,NA,,United States,subtropical,North America,Pacific,mix,NA,ecological,mix,mix,mix,mix,,,,stability,stability,figure 1 & 2,ambiguous,,,,,,,,,,,,,,,,,,,,,,CV data not available and inconsistency in calculating them from time series when not done for others 
168,in,out,other,yes,Babcok et al,Babcok et al,Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects,6,2010,field,CI,NA,MPA,Kenya,40,old,NA,mix,mix,mix,mix,NA,,Kenya,tropical,Africa,Indian Ocean,mix,NA,ecological,mix,mix,mix,mix,,,,stability,stability,figure 1 & 2,ambiguous,,,,,,,,,,,,,,,,,,,,,,CV data not available and inconsistency in calculating them from time series when not done for others 
168,in,out,other,yes,Babcok et al,Babcok et al,Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects,6,2010,field,CI,1975-2005,MPA,Leigh,30,old,1975,fully,5.56,5.56,medium,NA,,New Zealand,subtropical,Oceania,Tasman sea,mix,NA,ecological,mix,mix,mix,mix,,,,stability,stability,figure 1 & 2,ambiguous,,,,,,,,,,,,,,,,,,,,,,CV data not available and inconsistency in calculating them from time series when not done for others 
168,in,out,other,yes,Babcok et al,Babcok et al,Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects,6,2010,field,CI,1992-2007,MPA,Maria Island,15,old,1992,fully,NA,12.3,medium,NA,,Australia,temperate,Oceania,Tasman sea,mix,NA,ecological,mix,mix,mix,mix,,,,stability,stability,figure 1 & 2,ambiguous,,,,,,,,,,,,,,,,,,,,,,CV data not available and inconsistency in calculating them from time series when not done for others 
168,in,out,other,yes,Babcok et al,Babcok et al,Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects,6,2010,field,CI,NA,MPA,Sumilon Island,15,old,NA,fully,0.024,0.024,small,NA,,Philippines,tropical,Asia,Coral sea,mix,NA,ecological,mix,mix,mix,mix,,,,stability,stability,figure 1 & 2,ambiguous,,,,,,,,,,,,,,,,,,,,,,CV data not available and inconsistency in calculating them from time series when not done for others 
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,,,fishery,agency,user rights,table 3,negative,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,,,tourism,agency,user rights,table 3,neutral,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,,,tourism,assets,income,table 3,positive,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,small-scale,,fishery,assets,income,table 3,negative,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,,,coastal community,assets,employment,table 3,neutral,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,,,coastal community,assets,material assets,table 3,neutral,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
768,in,out,other,yes,Oikonomou,Oikonomou,"Integrating Conservation and Development at the National Marine Park of Alonissos, Northern Sporades, Greece: Perception and Practice",7,2008,field,perception,2005,MPA,Alonissos,13,old,1992,PPA,75,2265,large,yes,state,Greece,temperate,Europe,Mediterranean,mix,,social,fish,mix,fished,,,,coastal community,learning,MPA knowledge,table 3,neutral,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
214,in,out,WoS,,"Russ, Garry R.; Alcala, Angel C.","Russ, Garry R.; Alcala, Angel C.",Enhanced biodiversity beyond marine reserve boundaries: The cup spillith over,8,2011,field,BACI,2008,MPA,Apo Island,23,old,1985,fully,0.23,0.23,small,yes,,Philippines,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,,,,,biodiversity,species richness,Results,positive,,,,,,,,,,,,,,,,,,,,,,no error associated with the values
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Apo Island,18,old,1982,fully,0.225,0.74,small,yes,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,agency,participation,figure 6,positive,yes,% local who believe the community is involved in management,,,,,,,,,,,,,,,,,,,,
