ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotectionBroad,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControlSD,ei,vei,OUTabstract,OUTtext,comment
1,in,out,out,WoS,yes,J,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",0,2021,10.1007/s10641-021-01118-3,WOS:000677968000001,field,CI,2018,MPA,Lombok Island,NA,NA,NA,FPA,fully,NA,NA,NA,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,NA,,biodiversity,,simpson,Figure 5,positive,yes,number,SD,,,,,,,,,0.57,10.00,0.28,0.28,0.414930556,8,0.23533753,0.23533753,0.309206082,0.129230973,,,Simpson index was not kept as an indicator beceause there is a small number of articles using it
1,in,out,out,WoS,yes,J,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",0,2021,10.1007/s10641-021-01118-3,WOS:000677968000001,field,CI,2018,MPA,Lombok Island,NA,NA,NA,PPA,NA,NA,NA,NA,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,NA,,biodiversity,,simpson,Figure 5,positive,yes,number,SD,,,,,,,,,0.62,9.00,0.30,0.30,0.414930556,8,0.23533753,0.23533753,0.39971484,0.126355618,,,Simpson index was not kept as an indicator beceause there is a small number of articles using it
1,in,in,in,WoS,yes,J,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",0,2021,10.1007/s10641-021-01118-3,WOS:000677968000001,field,CI,2018,MPA,Lombok Island,mix,mix,mix,FPA,fully,mix,mix,mix,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,NA,,biodiversity,,species richness,Supplementary information,neutral,yes,number,SD,,,,,,,,,17.20,5.00,6.55,6.55,18,4,6.041522987,6.041522987,-0.045462374,0.057206306,,,eDNA based
1,in,in,in,WoS,yes,J,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",0,2021,10.1007/s10641-021-01118-3,WOS:000677968000001,field,CI,2018,MPA,Lombok Island,mix,mix,mix,PPA,low?,mix,mix,mix,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,NA,,biodiversity,,species richness,Supplementary information,neutral,yes,number,SD,,,,,,,,,18.00,5.00,3.35,3.35,18,4,6.041522987,6.041522987,0,0.03507716,,,eDNA based
1,in,in,in,WoS,yes,J,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",0,2021,10.1007/s10641-021-01118-3,WOS:000677968000001,field,CI,2018,MPA,Lombok Island,mix,mix,mix,FPA,fully,mix,mix,mix,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,NA,,biodiversity,,shannon,Figure 6,neutral,yes,number,SD,,,,,,,,,1.28,10.00,0.68,0.68,0.910889399,8,0.441369912,0.441369912,0.337254698,0.057915449,,,eDNA based
1,in,in,in,WoS,yes,J,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis","Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",0,2021,10.1007/s10641-021-01118-3,WOS:000677968000001,field,CI,2018,MPA,Lombok Island,mix,mix,mix,PPA,low?,mix,mix,mix,NA,Indonesia,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,mix,,NA,,biodiversity,,shannon,Figure 6,neutral,yes,number,SD,,,,,,,,,1.47,9.00,0.82,0.82,0.910889399,8,0.441369912,0.441369912,0.479248769,0.063474387,,,eDNA based
2,in,out,out,WoS,yes,J,"Looby, Audrey; Ginsburg, David W.","Looby, Audrey; Ginsburg, David W.","Nearshore species biodiversity of a marine protected area off Santa Catalina Island, California",WESTERN NORTH AMERICAN NATURALIST,,"Santa Catalina Island, located similar to 35 km off the Southern California coast, is home to the Blue Cavern Onshore State Marine Conservation Area (SMCA). Although the conservation area is recognized as both an area of special biological significance and a marine life refuge, species richness of the nearshore taxa from this location is not known. In this study, we provide a comprehensive inventory of the intertidal and subtidal marine macroalgae, plants, invertebrates, and fishes documented from 5 different reef sites inside Blue Cavern Onshore SMCA. Species richness data were compiled using scuba-based visual surveys conducted in the field, references from the primary and gray literature, research collections maintained by scholarly institutions, and field monitoring programs. The total number of marine taxa documented in this study (765 species from 17 major phylogenetic groups) represents 63% of the estimated species richness in Blue Cavern Onshore SMCA and is indicative of the high biodiversity known from this region. Specifically, the intertidal and subtidal biota reported here represent 34% and 18% of the marine taxa known from Catalina Island and the Southern California Bight, respectively. Incidences of the introduction of exotic and invasive organisms (n = 18), changes in the geographic distributions of species (n = 14), as well as marine taxa listed as species of concern, endangered, or critically endangered (n = 4), were also identified in the current inventory. Research findings presented here offer an important baseline of species richness in the California Channel Islands and will help to improve efforts by resource managers and policy makers to conserve and manage similar habitats in the coastal waters off Southern California.",0,2021,,WOS:000659319200010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no control used, preventing us from contextualising the MPA data"
3,in,in,in,WoS,yes,J,"Gilchrist, Hannah; Rocliffe, Steve; Anderson, Lucy G.; Gough, Charlotte L. A.","Gilchrist, Hannah; Rocliffe, Steve; Anderson, Lucy G.; Gough, Charlotte L. A.",Reef fish biomass recovery within community-managed no take zones,OCEAN & COASTAL MANAGEMENT,,"Locally managed marine areas (LMMAs) are increasingly recognised as a key strategy for small-scale fisheries management across the Indo-Pacific. When effective, LMMAs can encourage responsible fishing, strengthen compliance and improve adaptive capacity, and may help to safeguard food security, address coastal poverty and increase resource sustainability. However, evidence that LMMAs can achieve long-term biological goals is limited. Here, we used a six-year dataset and a before-after-control-impact sampling design to assess the biological effectiveness of five community-managed no take zones (CMNTZs) situated within the Velondriake LMMA in southwest Madagascar. Linear mixed-effect models revealed that the difference in biomass between control and reserve sites increased over time. Significant differences in biomass between CMNTZs and controls were only evident from year two onwards, with 189% more total biomass in CMNTZs than fished control sites by year six. There was no effect of CMNTZs on the biomass of fish families preferentially targeted by the local fishery, limiting the long-term fisheries benefits of this reserve network unless individual CMNTZs are made larger to accommodate the home ranges of fishery targeted families. There were however, reserve effects preventing the decline of untargeted fish families and species richness.Importantly, these CMNTZs delivered a conservation benefit that rivals government-run NTZs in the region, against a backdrop of severe biomass depletion, coastal poverty and human dependence on fishing-illustrating their suitability as a solution to marine resource depletion in developing tropical countries.",3,2020,10.1016/j.ocecoaman.2020.105210,WOS:000534266700011,field,BACI,2015,LMMA,Velondriake,6,medium,2009,FPA,fully,0.18,0.18,small,yes,Madagascar,tropical,Africa,West Indian Ocean,coral reef,,ecological,fish,,,,,co-managed,,biodiversity,,species richness,Figure 7,neutral,yes,ratio MPA/control,95% confidence interval,17.1,30,0.15,46.75063111,20.7,30,0.15,46.75063111,15.3,6.00,0.23,14.93487058,17,6.00,0.23,14.93487058,0.085694721,0.70661555,,,"check the variance, BACI design, each MPA value was calculated as the grand mean of the 6 transect values within each site that has been closed long enough to test the closure effect after the corresponding number of years."
4,in,out,out,WoS,yes,J,"Caceres, Ignacio; Ibarra-Garcia, Esmeralda C.; Ortiz, Marco; Ayon-Parente, Manuel; Rodriguez-Zaragoza, Fabian A.","Caceres, Ignacio; Ibarra-Garcia, Esmeralda C.; Ortiz, Marco; Ayon-Parente, Manuel; Rodriguez-Zaragoza, Fabian A.",Effect of fisheries and benthic habitat on the ecological and functional diversity of fish at the Cayos Cochinos coral reefs (Honduras),MARINE BIODIVERSITY,,"The Cayos Cochinos archipelago forms part of the Mesoamerican Barrier Reef System (MBRS) and is one of the first marine protected areas (MPAs) created in Honduras in 1993. However, it has endured historical fishery exploitation prior to protective efforts. The objective of this study was to evaluate the fish assemblages of the archipelago from an ecological and functional diversity perspective in order to test the hypothesis that the low live coral cover, reduced habitat complexity, and overfishing have decreased the biological, ecological, and functional diversity of fish. Our results indicate that the fish assemblages have a high species richness and ecological diversity, compared with other reefs of the MBRS. The sub-massive corals sustain the fish ecological and functional diversity, while leafy corals were associated with low functional diversity. Also, we identified sites with fish assemblages that are in good condition (e.g., Roatan Bank), which can be considered to be a control point for the evaluation of other sites within this MPA. Unfortunately, we also identified sites that were overexploited (e.g., Salamandinga), with low live coral cover and reduced habitat complexity, which also generated a low ecological and functional diversity. This study highlights a functional approach to evaluate fish assemblage conservation in MPAs. This work revealed that habitat complexity loss and overfishing negatively affect functional fish diversity.",3,2020,10.1007/s12526-019-01024-z,WOS:000513578200002,field,CI,2008,MPA,Cayos Cochinos,15,,1993,PPA,,0,485.3,,yes,Honduras,tropical,Central America,Caribean Sea,mix,,ecological,fish,,,,,state,,biodiversity,,species richness,Figure 3,,yes,number,95%quartile,,,,,,,,,39.08,129.00,,,,,,,39.08,,,,"no control used, preventing us from contextualising the MPA data"
5,in,in,out,WoS,yes,J,"Blowes, Shane A.; Chase, Jonathan M.; Di Franco, Antonio; Frid, Ori; Gotelli, Nicholas J.; Guidetti, Paolo; Knight, Tiffany M.; May, Felix; McGlinn, Daniel J.; Micheli, Fiorenza; Sala, Enric; Belmaker, Jonathan","Blowes, Shane A.; Chase, Jonathan M.; Di Franco, Antonio; Frid, Ori; Gotelli, Nicholas J.; Guidetti, Paolo; Knight, Tiffany M.; May, Felix; McGlinn, Daniel J.; Micheli, Fiorenza; Sala, Enric; Belmaker, Jonathan","Mediterranean marine protected areas have higher biodiversity via increased evenness, not abundance",JOURNAL OF APPLIED ECOLOGY,,"Protected areas are central to biodiversity conservation. For marine fish, marine protected areas (MPAs) often harbour more individuals, especially of species targeted by fisheries. But precise pathways of biodiversity change remain unclear. For example, how local-scale responses combine to affect regional biodiversity, important for managing spatial networks of MPAs, is not well known. Protection potentially influences three components of fish assemblages that determine how species accumulate with sampling effort and spatial scale: the total number of individuals, the relative abundance of species and within-species aggregation. Here, we examined the contributions of each component to species richness changes inside MPAs as a function of spatial scale. Using standardized underwater visual survey data, we measured the abundance and species richness of reef fishes in 43 protected and 41 fished sites in the Mediterranean Sea. At both local and regional scales, increased species evenness caused by added common species in MPAs compared to fished sites was the most important proximate driver of higher diversity. Site-to-site variation in the composition (i.e. beta-diversity) of common species was also higher among protected sites, and depended on sensitivity to exploitation. There were more abundant exploited species at regional scales than at local scales, reflecting a tendency for different protected sites to harbour different exploited species. In contrast, fewer abundant unexploited species were found at the regional scale than at the local scale, meaning that relative abundances at the regional scale were less even than at the local scale. Synthesis and applications. Although marine protected areas (MPAs) are known to strongly influence fish community abundance and biomass, we found that changes to the relative abundance of species (i.e. increased evenness) dominated the biodiversity response to protection. MPAs had more relatively common species, which in turn led to higher diversity for a given sampling effort. Moreover, higher beta-diversity of common species meant that local-scale responses were magnified at the regional scale due to site-to-site variation inside protected areas for exploited species. Regional conservation efforts can be strengthened by examining how multiple components of biodiversity respond to protection across spatial scales.",6,2020,10.1111/1365-2664.13549,WOS:000505754700001,field,CI,2008,MPA,Mix,NA,NA,NA,mix,NA,NA,NA,NA,NA,NA,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,mix,,,NA,,biodiversity,,species richness,Results 3.1,positive,,,,,,,,,,,,,,,,,,,,,,,,"no error raw, only 95%quantiles"
