ID,PDF,OUTabstract,OUTtext,outMA,Authors,Author.Full.Names,Title,Abstract,citation,year,source,datayear,studytype,design,COMP,protection,Creation,Age,Size,degradation,country,continent,climate,ocean,ecosystem,species,mechanism,outcome,indicator,strength,direction,quantitative,data origin,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD, AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControl_SD,ei,vei,comment
1,,in,out,out,"Paquier, AE; Meule, S; Anthony, EJ; Larroude, P; Bernard, G","Paquier, Anne-Eleonore; Meule, Samuel; Anthony, Edward J.; Larroude, Philippe; Bernard, Guillaume",Wind-Induced Hydrodynamic Interactions With Aquatic Vegetation in a Fetch-Limited Setting: Implications for Coastal Sedimentation and Protection,"Interactions between a patchy degraded Zostera noltei seagrass meadow and waves, currents, and sedimentary processes were analyzed from data obtained from a strongly wind-influenced micro-tidal brackish water lagoon in southeastern France. Measurements were conducted on offshore and foreshore morphology (topography, bathymetry), on hydrodynamics (waves, water levels, and currents) under different wind conditions within and outside the meadow, and on meadow biometry (shoot density, leaf length). The main impact of this patchy meadow on wind-wave transformations seems to be attenuation of waves further offshore than in the absence of vegetation. This attenuation is particularly notable above the meadow front edge, and is related to wave heights, water levels, and wave periods that are, in turn, dependent on wind intensity and fetch length. The data show that the patchy meadow does not attenuate small and short waves, especially when water levels are high, but is capable, like salt marshes and artificial seagrass, of attenuating relatively high and long waves. Notwithstanding its patchy and degraded character, the meadow also strongly influences the vertical distribution of currents. Whereas currents are strong and significantly influenced by wind and wind waves above the meadow, both waves and currents are dissipated in a transitional canopy-water layer. These wave and current modifications are reflected in the evolution of the seabed. Erosion and sedimentation are mainly controlled by the hydrodynamics but the seasonal state of the meadow plays a role by modulating the hydrodynamics. These substrate changes are, important, in turn, in influencing protection of the shoreline.",3,2019,WoS,,field,,absolute,,,,,,France,Europe,temperate,,seagrass,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
2,,in,out,out,Moller,,"Wind wave attenuation over saltmarsh surfaces: Preliminary results from Norfolk, England",,,1996,other,,field,,absolute,,,,,,United Kingdom,Europe,temperate,,marsh,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
3,,in,out,out,"Tschirky, PA; Hall, KR; Turcke, DJ",NA,Wetland wave attenuation and shore protection,"Coastal wetlands provide a vital link to the hydrologic system, a refuge for birds, small mammals, reptiles, and are an extremely important spawning area for fish. Their contribution to habitat, biodiversity, and ecosystem health is considerable. With the substantial decline in size and number of wetlands along the shores of the Great Lakes in the last 50 years the practical use of aquatic plants can provide shore protection and restore areas of lost wetlands. In order to combine biological and engineering requirements more has to be known about the functional design of shoreline wetlands and the specific ability of aquatic plants to attenuate wave energy.This paper discusses recent research activities of the Queen's University Coastal Engineering Research Laboratory (QUCERL) to monitor and evaluate the effectiveness and application of aquatic vegetation and wetlands for incorporation into shore protection schemes. Specifically, it examines the results of a study of a wetland at the Lemoine Point Conservation Area along Collins Bay in Lake Ontario near Kingston. The wave climate at the site was analyzed and the wetland site was instrumented with pressure sensors to monitor the wave transformation as the waves pass through the emergent aquatic vegetation. This field study is complemented by a series of laboratory tests on plants in a wave flume at QUCERL. The wave heights were reduced in both studies by typically 20 to 40 percent through the wetland plants. A more detailed knowledge of the relationship between wave parameters and vegetation characteristics in reducing wave energy will strengthen the engineering basis for the use of aquatic vegetation and increase opportunities for conservation and human use and enjoyment of 'naturally' protected shores.",1998,1998,WoS,,field,,absolute,,,,,,United Kingdom,Europe,temperate,,marsh,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
4,,in,out,out,"SYMONDS, G; BLACK, KP; YOUNG, IR","Young, Ian/E-7385-2011; Symonds, Graham/E-2263-2011",WAVE-DRIVEN FLOW OVER SHALLOW REEFS,"Long-term (1 month) observations of waves and currents over a natural reef are presented which show a strong correlation between offshore rms incident wave height and cross-reef currents at subtidal frequencies. The energy spectrum of the cross-reef currents shows a significant peak at twice the semidiurnal tidal frequency, while the spectrum;m of sea surface elevation dyer the reef flat shows no corresponding peak. Furthermore, experimental results reported by Gourlay (1993) show setup over the reef occurs in the absence of a beach, and the cross-reef transport decreases with an increase in the sea surface slope across the reef flat due to an increase in setup at the top of the reef face. Analytic solutions for flow forced by wave breaking over an idealized reef explain the above features of cross-reef flows in the absence of a beach. Through the surf zone on the reef face the cross-reef gradient in the radiation stress due to wave breaking is partitioned between balancing an offshore pressure gradient associated with setup over the reef and forcing a mean flow across the reef. Over the reef flat, where the depth is constant, there is no forcing due to wave breaking and the flow is driven by a pressure gradient which results from the setup through the surf zone. The magnitude of the setup through the surf zone is such that the transport across the reef flat matches the transport through the surf zone which is forced by the gradient in the radiation stress. Solutions are presented for general reef geometry, defined by the reef width and slope of the seaward reef face, and incident wave forcing, defined by the depth at the breakpoint and the depth of water over the reef. As the depth over the reef goes to zero, the solutions converge to the plane beach solutions described by Longuet-Higgins and Stewart (1964), wave setup is maximized, and the cross-reef transport is zero. In other cases the relative magnitudes of the setup and the cross-reef transport depend on the geometry of the reef and the incident wave forcing.",FEB 15 1995,1995,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
5,,in,out,out,Storlazzi,,"Wave- and tidally-driven flow and sediment flux across a fringing coral reef: Southern Molokai, Hawaii",,,2004,other,,field,,absolute,,,,,,United States,Oceania,tropical,Pacific,coral reef,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
6,,in,out,out,"Hayashi, K; Ooi, K; Tada, T; Miyata, Y","Hayashi, Kenjirou; Ooi, Kuniaki; Tada, Tuyoshi; Miyata, Yoshihisa",WAVE TRANSMISSION AND REFLECTION BY TREES AND POROUS STRUCTURES,"Laboratory experiments were performed to study wave transmission and wave reflection capacity of circular cylinders, modeling trees and porous structures near the coast as coastal protection from wind waves and tsunamis. The energy dissipated in the array of circular cylinders was evaluated by measuring the drag forces acting on them and wave particle velocities of incident waves. The drag forces acting on a circular cylinder are measured by using a multi component load cell. The wave particle velocities are measured by using a Laser Doppler anemometer. A theoretical and numerical analysis based on application of the continuity and energy equations to flow through the rows of circular cylinders were made to evaluate wave transmission and wave reflection capacity in the array of circular cylinders. The reflection coefficient K-r is significant for large value of the ratio of the circular cylinders area to the unit bed area in the array of circular cylinders.",0,2015,WoS,,field,,absolute,,,,,,,,,,mangrove,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
7,,in,out,out,"Moller, I; Spencer, T; French, JR; Leggett, DJ; Dixon, M","French, Jon/C-2455-2008","Wave transformation over salt marshes: A field and numerical modelling study from north Norfolk, England","This paper presents quantitative evidence for the effectiveness of a meso- to macro-tidal open coast salt marsh in attenuating incoming waves over a range of tidal and meteorological conditions. Field measurements of wind waves at three locations on a sand flat to salt marsh cross-shore transect showed that wave energy dissipation rates over the salt marsh were significantly higher (at an average of 82%) than over the sand flat (at an average of 29%). The difference in water depth between the sand flat and salt marsh sections of the transect was not sufficient to account for the difference in wave attenuation, indicating that an increase in surface friction is the primary reason for increased wave attenuation over the salt marsh. Comparison of the field results with a numerical model based on theoretical wave energy dissipation suggests that surface friction factors of the order of less than or equal to 0.4 are responsible for the high values of wave attenuation over the salt marsh. The results provide empirical support, both for maintaining salt marshes in front of existing sea defence lines and for creating new salt marsh as part of coastal set-back/shoreline realignment schemes. (C) 1999 Academic Press.",Sep-99,1999,WoS,,field,,absolute,,,,,,,,,,marsh,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
8,,in,out,out,"YOUNG, IR","Young, Ian/E-7385-2011",WAVE TRANSFORMATION OVER CORAL REEFS,NA,JUL 15 1989,1989,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
9,,in,out,out,Gourlay,,WAVE TRANSFORMATION ON A CORAL-REEF,,,1994,other,,field,,absolute,,,,,,,,,,coral reef ,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
10,,in,out,out,"Harris, DL; Vila-Concejo, A","Harris, Daniel L.; Vila-Concejo, Ana",Wave transformation on a coral reef rubble platform.,"Wave transformation across coral reef platforms is the primary process affecting changes in coral reef geomorphology. Transformation regulates the amount of wave energy entering reef systems, however there have been relatively few hydrodynamic assessments conducted on coral reefs when compared to siliciclastic environments with the effects of common geomorphic features like rubble platforms on wave transformation never specifically examined. This study focuses on the changes in wave characteristics across a rubble platform in a high energy environment (One Tree Reef, southern Great Barrier Reef). Wave conditions were measured at five locations over two days along a cross-reef transect from the reef rim to lagoon. Most of the wave energy was dissipated during wave breaking with energy attenuation due to bottom friction a secondary process. Wave energy attenuation was between 60-99% of the offshore wave conditions only during high tide would wave propagation across the reef platform be capable of affecting reef geomorphology. The wave spectrum also changed with the shorter period gravity wave energy (3 - 20 s) almost completely expending during transformation while longer period infragravity waves (20 - 300 s) were capable of propagating across the reef platform. Wave heights were depth limited and primarily controlled by water depth which suggests that water depth over the reef platform and subsequently elevation of the reef platform above mean sea level govern the amount of wave energy transferred across into reef systems, with most of the gravity wave energy removed during propagation over coral rubble platforms.",13,2013,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
