ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotectionBroad,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControlSD,ei,vei,comment
1,out,out,out,WoS,yes,J,"Van Dam, Bryce; Lopes, Christian; Zeller, Mary A.; Ribas-Ribas, Mariana; Wang, Hongjie; Thomas, Helmuth","Van Dam, Bryce; Lopes, Christian; Zeller, Mary A.; Ribas-Ribas, Mariana; Wang, Hongjie; Thomas, Helmuth",Overstated Potential for Seagrass Meadows to Mitigate Coastal Ocean Acidification,FRONTIERS IN MARINE SCIENCE,,,0,2021,10.3389/fmars.2021.729992,WOS:000720753700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,in,in,in,WoS,yes,J,"Maggioni, Federica; Pujo-Pay, Mireille; Aucan, Jerome; Cerrano, Carlo; Calcinai, Barbara; Payri, Claude; Benzoni, Francesca; Letourneur, Yves; Rodolfo-Metalpa, Riccardo","Maggioni, Federica; Pujo-Pay, Mireille; Aucan, Jerome; Cerrano, Carlo; Calcinai, Barbara; Payri, Claude; Benzoni, Francesca; Letourneur, Yves; Rodolfo-Metalpa, Riccardo",The Bourake semi-enclosed lagoon (New Caledonia) - a natural laboratory to study the lifelong adaptation of a coral reef ecosystem to extreme environmental conditions,BIOGEOSCIENCES,,"According to current experimental evidence, coral reefs could disappear within the century if CO2 emissions remain unabated. However, recent discoveries of diverse and high cover reefs that already live under extreme conditions suggest that some corals might thrive well under hot, high-pCO(2), and deoxygenated seawater. Volcanic CO2 vents, semi-enclosed lagoons, and mangrove estuaries are unique study sites where one or more ecologically relevant parameters for life in the oceans are close to or even worse than currently projected for the year 2100. Although they do not perfectly mimic future conditions, these natural laboratories offer unique opportunities to explore the mechanisms that reef species could use to keep pace with climate change. To achieve this, it is essential to characterize their environment as a whole and accurately consider all possible environmental factors that may differ from what is expected in the future, possibly altering the ecosystem response.This study focuses on the semi-enclosed lagoon of Bourake (New Caledonia, southwest Pacific Ocean) where a healthy reef ecosystem thrives in warm, acidified, and deoxygenated water. We used a multi-scale approach to characterize the main physical-chemical parameters and mapped the benthic community composition (i.e., corals, sponges, and macroalgae). The data revealed that most physical and chemical parameters are regulated by the tide, strongly fluctuate three to four times a day, and are entirely predictable. The seawater pH and dissolved oxygen decrease during falling tide and reach extreme low values at low tide (7.2 pH(T) and 1.9 mg O-2 L-1 at Bourake vs. 7.9 pH(T) and 5.5 mg O-2 L(-1 )at reference reefs). Dissolved oxygen, temperature, and pH fluctuate according to the tide by up to 4.91 mg O-2 L-1, 6.50 degrees C, and 0.69 pH(T) units on a single day. Furthermore, the concentration of most of the chemical parameters was 1 to 5 times higher at the Bourake lagoon, particularly for organic and inorganic carbon and nitrogen but also for some nutrients, notably silicates. Surprisingly, despite extreme environmental conditions and altered seawater chemical composition measured at Bourake, our results reveal a diverse and high cover community of macroalgae, sponges, and corals accounting for 28, 11, and 66 species, respectively. Both environmental variability and nutrient imbalance might contribute to their survival under such extreme environmental conditions. We describe the natural dynamics of the Bourake ecosystem and its relevance as a natural laboratory to investigate the benthic organism's adaptive responses to multiple extreme environmental conditions.",0,2021,10.5194/bg-18-5117-2021,WOS:000697323300001,field,CI,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,tropical,Oceania,South Pacific Ocean,mangrove,NA,ecological,mangrove,"Avicennia marina, Rhizophora stylosa",NA,NA,NA,NA,NA,NA,NA,pH,3 Results 3.1 Variability in physical environmental parameters,neutral,yes,pH unit,SE,,,,,,,,,7.735,103,1.3273,1.152085066,7.95,94,0.124,0.352136337,-0.215,1.45E+00,large variance because high pH variability in the mangrove lagoon
3,in,in,out,WoS,yes,J,"Falkenberg, Laura J.; Scanes, Elliot; Ducker, James; Ross, Pauline M.","Falkenberg, Laura J.; Scanes, Elliot; Ducker, James; Ross, Pauline M.",Biotic habitats as refugia under ocean acidification,CONSERVATION PHYSIOLOGY,,"Habitat-forming organisms have an important role in ameliorating stressful conditions and may be of particular relevance under a changing climate. Increasing CO2 emissions are driving a range of environmental changes, and one of the key concerns is the rapid acceleration of ocean acidification and associated reduction in pH. Such changes in seawater chemistry are anticipated to have direct negative effects on calcifying organisms, which could, in turn, have negative ecological, economic and human health impacts. However, these calcifying organisms do not exist in isolation, but rather are part of complex ecosystems. Here, we use a qualitative narrative synthesis framework to explore (i) how habitat-forming organisms can act to restrict environmental stress, both now and in the future; (ii) the ways their capacity to do so is modified by local context; and (iii) their potential to buffer the effects of future change through physiological processes and how this can be influenced by management adopted. Specifically, we highlight examples that consider the ability of macroalgae and seagrasses to alter water carbonate chemistry, influence resident organisms under current conditions and their capacity to do so under future conditions, while also recognizing the potential role of other habitats such as adjacent mangroves and saltmarshes. Importantly, we note that the outcome of interactions between these functional groups will be context dependent, influenced by the local abiotic and biotic characteristics. This dependence provides local managers with opportunities to create conditions that enhance the likelihood of successful amelioration. Where individuals and populations are managed effectively, habitat formers could provide local refugia for resident organisms of ecological and economic importance under an acidifying ocean.",0,2021,10.1093/conphys/coab077,WOS:000722579300001,review,CI,mix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mix,mix,mix,mix,mix,NA,ecological,mix,mix,NA,NA,NA,NA,NA,NA,NA,pH,text ,positive,no,pH unit,NA,,,,,,,,,,,,,,,,,,,this article is a review
4,in,in,in,WoS,yes,J,"Miller, Cale A.; Kelley, Amanda L.","Miller, Cale A.; Kelley, Amanda L.",Alkalinity cycling and carbonate chemistry decoupling in seagrass mystify processes of acidification mitigation,SCIENTIFIC REPORTS,,"The adverse conditions of acidification on sensitive marine organisms have led to the investigation of bioremediation methods as a way to abate local acidification. This phytoremediation, by macrophytes, is expected to reduce the severity of acidification in nearshore habitats on short timescales. Characterizing the efficacy of phytoremediation can be challenging as residence time, tidal mixing, freshwater input, and a limited capacity to fully constrain the carbonate system can lead to erroneous conclusions. Here, we present in situ observations of carbonate chemistry relationships to seagrass habitats by comparing dense (DG), patchy (PG), and no grass (NG) Zostera marina pools in the high intertidal experiencing intermittent flooding. High-frequency measurements of pH, alkalinity (TA), and total-CO2 elucidate extreme diel cyclicity in all parameters. The DG pool displayed frequent decoupling between pH and aragonite saturation state (Omega(arg)) suggesting pH-based inferences of acidification remediation by seagrass can be misinterpreted as pH and Omega(arg) can be independent stressors for some bivalves. Estimates show the DG pool had an integrated Delta TA of 550 mu mol kg(-1) over a 12 h period, which is similar to 60%>the PG and NG pools. We conclude habitats with mixed photosynthesizers (i.e., PG pool) result in less decoupling between pH and Omega(arg).",1,2021,10.1038/s41598-021-92771-2,WOS:000671782600013,field,CI,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,temperate,North America,North Pacific Ocean,seagrass,NA,ecological,seagrass,mix,NA,NA,NA,NA,NA,NA,NA,pH,Figure 1,neutral,yes,pH unit,SD,,,,,,,,,8.510593792,39,0.429126987,0.429126987,8.378255373,35,0.232251265,0.232251265,0.132338419,2.38E-01,
5,in,in,in,WoS,yes,J,"Ricart, Aurora M.; Gaylord, Brian; Hill, Tessa M.; Sigwart, Julia D.; Shukla, Priya; Ward, Melissa; Ninokawa, Aaron; Sanford, Eric","Ricart, Aurora M.; Gaylord, Brian; Hill, Tessa M.; Sigwart, Julia D.; Shukla, Priya; Ward, Melissa; Ninokawa, Aaron; Sanford, Eric",Seagrass-driven changes in carbonate chemistry enhance oyster shell growth,OECOLOGIA,,"Quantifying the strength of non-trophic interactions exerted by foundation species is critical to understanding how natural communities respond to environmental stress. In the case of ocean acidification (OA), submerged marine macrophytes, such as seagrasses, may create local areas of elevated pH due to their capacity to sequester dissolved inorganic carbon through photosynthesis. However, although seagrasses may increase seawater pH during the day, they can also decrease pH at night due to respiration. Therefore, it remains unclear how consequences of such diel fluctuations may unfold for organisms vulnerable to OA. We established mesocosms containing different levels of seagrass biomass (Zostera marina) to create a gradient of carbonate chemistry conditions and explored consequences for growth of juvenile and adult oysters (Crassostrea gigas), a non-native species widely used in aquaculture that can co-occur, and is often grown, in proximity to seagrass beds. In particular, we investigated whether increased diel fluctuations in pH due to seagrass metabolism affected oyster growth. Seagrasses increased daytime pH up to 0.4 units but had little effect on nighttime pH (reductions less than 0.02 units). Thus, both the average pH and the amplitude of diel pH fluctuations increased with greater seagrass biomass. The highest seagrass biomass increased oyster shell growth rate (mm day(-1)) up to 40%. Oyster somatic tissue weight and oyster condition index exhibited a different pattern, peaking at intermediate levels of seagrass biomass. This work demonstrates the ability of seagrasses to facilitate oyster calcification and illustrates how non-trophic metabolic interactions can modulate effects of environmental change.",1,2021,10.1007/s00442-021-04949-0,WOS:000655605500001,laboratory,CI,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,seagrass,NA,ecological,seagrass,Zostera marina,NA,NA,NA,NA,NA,NA,NA,pH,Table 1,neutral,yes,pH unit,SD,,,,,,,,,8.035,28,0.013,0.114017543,7.965,28,0.009125,0.095524866,0.07,2.21E-02,
6,in,in,in,WoS,yes,J,"Garcia-Troche, Erick M.; Morell, Julio M.; Melendez, Melissa; Salisbury, Joseph E.","Garcia-Troche, Erick M.; Morell, Julio M.; Melendez, Melissa; Salisbury, Joseph E.","Carbonate chemistry seasonality in a tropical mangrove lagoon in La Parguera, Puerto Rico",PLOS ONE,,"We investigated the seasonal carbonate chemistry variability within a semi-enclosed tropical mangrove lagoon in southwestern Puerto Rico. Biweekly measurements of seawater temperature, salinity, total alkalinity (TA), and dissolved inorganic carbon (DIC) were conducted from 2014 to 2018. We describe the possible mechanisms driving the observed variability by correlating the DIC/TA ratio with pH and Omega (arg), suggesting that the mean pH (7.87 +/- 0.09) and aragonite saturation state (Omega (arg), 2.96 +/- 0.47) of the mangrove lagoon negatively affected calcification. The measured pCO(2) and DIC/TA ratios indicate that heterotrophic activity was the primary driver for persistent acidification, which reached its maximum expression during the wet season. We conclude that mangrove lagoons with limited seawater exchange and high carbon input will not mitigate ocean acidification.",0,2021,10.1371/journal.pone.0250069,WOS:000664610500015,field,CI,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,tropical,Central America,North Atlantic Ocean,mangrove,NA,ecological,mangrove,Rhizophora mangle,NA,NA,NA,NA,NA,NA,NA,pH,Table 1,neutral,yes,pH unit,SD,,,,,,,,,7.87,64,0.09,0.09,7.99,96,0.07,0.07,-0.12,1.30E-02,"SE control, BB mangrove"
7,in,in,in,WoS,yes,J,"Ricart, Aurora M.; Ward, Melissa; Hill, Tessa M.; Sanford, Eric; Kroeker, Kristy J.; Takeshita, Yuichiro; Merolla, Sarah; Shukla, Priya; Ninokawa, Aaron T.; Elsmore, Kristen; Gaylord, Brian","Ricart, Aurora M.; Ward, Melissa; Hill, Tessa M.; Sanford, Eric; Kroeker, Kristy J.; Takeshita, Yuichiro; Merolla, Sarah; Shukla, Priya; Ninokawa, Aaron T.; Elsmore, Kristen; Gaylord, Brian",Coast-wide evidence of low pH amelioration by seagrass ecosystems,GLOBAL CHANGE BIOLOGY,,"Global-scale ocean acidification has spurred interest in the capacity of seagrass ecosystems to increase seawater pH within crucial shoreline habitats through photosynthetic activity. However, the dynamic variability of the coastal carbonate system has impeded generalization into whether seagrass aerobic metabolism ameliorates low pH on physiologically and ecologically relevant timescales. Here we present results of the most extensive study to date of pH modulation by seagrasses, spanning seven meadows (Zostera marina) and 1000 km of U.S. west coast over 6 years. Amelioration by seagrass ecosystems compared to non-vegetated areas occurred 65% of the time (mean increase 0.07 +/- 0.008 SE). Events of continuous elevation in pH within seagrass ecosystems, indicating amelioration of low pH, were longer and of greater magnitude than opposing cases of reduced pH or exacerbation. Sustained elevations in pH of >0.1, comparable to a 30% decrease in [H+], were not restricted only to daylight hours but instead persisted for up to 21 days. Maximal pH elevations occurred in spring and summer during the seagrass growth season, with a tendency for stronger effects in higher latitude meadows. These results indicate that seagrass meadows can locally alleviate low pH conditions for extended periods of time with important implications for the conservation and management of coastal ecosystems.",8,2021,10.1111/gcb.15594,WOS:000635259600001,field,CI,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,seagrass,NA,ecological,seagrass,mix,NA,NA,NA,NA,NA,NA,NA,pH,Table 1,neutral,yes,pH unit,SD,,,,,,,,,7.98,5162,0.14,0.14,7.91,5162,0.12,0.12,0.07,3.40E-02,
8,out,out,out,WoS,yes,J,"Jiang, Wenwen; Fang, Jinghui","Jiang, Wenwen; Fang, Jinghui",Effects of mussel-kelp ratios in integrated mariculture on the carbon dioxide system in Sanggou Bay,JOURNAL OF SEA RESEARCH,,"The ocean is the largest carbon reservoir on Earth. The shellfish-seaweed mode of Integrated Multi-trophic Aquaculture (IMTA) can be optimized to enhance carbon removal from the sea. In this study, the effects of different mussel-kelp ratios (i.e. 6:3, 6:2, 6:1, 4:3, 4:2, 4:1, 2:3, 2:2, and 2:1) on water quality and the carbon dioxide (CO2) system were 6:3, 6:2, 6:1, 4:3, 4:2, 4:1, 2:3, 2:2, and 2:1, were investigated using experimental enclosures in Sanggou Bay, China. The results showed that the DO decreased significantly when ratios were 4:1, 6:2 and 6:1. With the exception of ratio 4:3, there was no significant change in pH in any treatment. The highest of DO, pH, and CO32- values occurred when the mussel-kelp ratio was 2:3, the highest proportion of kelp, while the lowest occurred in ratio 6:1, with the highest proportion of mussels. The highest levels of pCO(2), CO2 and HCO3- were observed in ratio 6:1, and the lowest when the ratio was 2:3. Both DIC and HCO3- significantly decreased by the end of the experiment for ratios 2:1 and 6:3, while the concentration of CO2 significantly decreased for ratios 2:3 and 6:3. Considering the measured parameters, the mussel-kelp ratios of 2:1, 2:2, 4:2 and 4:3 were identified as the best net carbon sinks with the smallest negative environmental impacts. This study revealed how the IMTA shellfish-seaweed modes can be optimized to mitigate ocean acidification using specific proportions of species.",1,2021,10.1016/j.seares.2020.101983,WOS:000603566500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,in,out,out,WoS,yes,J,"Johnson, Mildred Jessica; Hennigs, Laura Margarethe; Sawall, Yvonne; Pansch, Christian; Wall, Marlene","Johnson, Mildred Jessica; Hennigs, Laura Margarethe; Sawall, Yvonne; Pansch, Christian; Wall, Marlene",Growth response of calcifying marine epibionts to biogenic pH fluctuations and global ocean acidification scenarios,LIMNOLOGY AND OCEANOGRAPHY,,"In coastal marine environments, physical and biological forces can cause dynamic pH fluctuations from microscale (diffusive boundary layer [DBL]) up to ecosystem-scale (benthic boundary layer [BBL]). In the face of ocean acidification (OA), such natural pH variations may modulate an organism's response to OA by providing temporal refugia. We investigated the effect of pH fluctuations, generated by the brown alga Fucus serratus' biological activity, on the calcifying epibionts Balanus improvisus and Electra pilosa under OA. For this, both epibionts were grown on inactive and biologically active surfaces and exposed to (1) constant pH scenarios under ambient (pH 8.1) or OA conditions (pH 7.7), or (2) oscillating pH scenarios mimicking BBL conditions at ambient (pH 7.7-8.6) or OA scenarios (pH 7.4-8.2). Furthermore, all treatment combinations were tested at 10 degrees C and 15 degrees C. Against our expectations, OA treatments did not affect epibiont growth under constant or fluctuating (BBL) pH conditions, indicating rather high robustness against predicted OA scenarios. Furthermore, epibiont growth was hampered and not fostered on active surfaces (fluctuating DBL conditions), indicating that fluctuating pH conditions of the DBL with elevated daytime pH do not necessarily provide temporal refugia from OA. In contrast, results indicate that factors other than pH may play larger roles for epibiont growth on macrophytes (e.g., surface characteristics, macrophyte antifouling defense, or dynamics of oxygen and nutrient concentrations). Warming enhanced epibiont growth rates significantly, independently of OA, indicating no synergistic effects of pH treatments and temperature within their natural temperature range.",0,2021,10.1002/lno.11669,WOS:000599349500001,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
10,in,out,out,WoS,yes,J,"Doo, Steve S.; Kealoha, Andrea; Andersson, Andreas; Cohen, Anne L.; Hicks, Tacey L.; Johnson, Zackary, I; Long, Matthew H.; McElhany, Paul; Mollica, Nathaniel; Shamberger, Kathryn E. F.; Silbiger, Nyssa J.; Takeshita, Yuichiro; Busch, D. Shallin","Doo, Steve S.; Kealoha, Andrea; Andersson, Andreas; Cohen, Anne L.; Hicks, Tacey L.; Johnson, Zackary, I; Long, Matthew H.; McElhany, Paul; Mollica, Nathaniel; Shamberger, Kathryn E. F.; Silbiger, Nyssa J.; Takeshita, Yuichiro; Busch, D. Shallin",The challenges of detecting and attributing ocean acidification impacts on marine ecosystems,ICES JOURNAL OF MARINE SCIENCE,,"A substantial body of research now exists demonstrating sensitivities of marine organisms to ocean acidification (OA) in laboratory settings. However, corresponding in situ observations of marine species or ecosystem changes that can be unequivocally attributed to anthropogenic OA are limited. Challenges remain in detecting and attributing OA effects in nature, in part because multiple environmental changes are co-occurring with OA, all of which have the potential to influence marine ecosystem responses. Furthermore, the change in ocean pH since the industrial revolution is small relative to the natural variability within many systems, making it difficult to detect, and in some cases, has yet to cross physiological thresholds. The small number of studies that clearly document OA impacts in nature cannot be interpreted as a lack of larger-scale attributable impacts at the present time or in the future but highlights the need for innovative research approaches and analyses. We summarize the general findings in four relatively well-studied marine groups (seagrasses, pteropods, oysters, and coral reefs) and integrate overarching themes to highlight the challenges involved in detecting and attributing the effects of OA in natural environments. We then discuss four potential strategies to better evaluate and attribute OA impacts on species and ecosystems. First, we highlight the need for work quantifying the anthropogenic input of CO2 in coastal and open-ocean waters to understand how this increase in CO2 interacts with other physical and chemical factors to drive organismal conditions. Second, understanding OA-induced changes in population-level demography, potentially increased sensitivities in certain life stages, and how these effects scale to ecosystem-level processes (e.g. community metabolism) will improve our ability to attribute impacts to OA among co-varying parameters. Third, there is a great need to understand the potential modulation of OA impacts through the interplay of ecology and evolution (eco-evo dynamics). Lastly, further research efforts designed to detect, quantify, and project the effects of OA on marine organisms and ecosystems utilizing a comparative approach with long-term data sets will also provide critical information for informing the management of marine ecosystems.",8,2020,10.1093/icesjms/fsaa094,WOS:000610522000003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,the review isn't considering any in situ article on the ability of seagrass to buffer the  OA
