ID,OUTabstract,OUTtext,outMA,source,PDF,Publication type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",PublicationYear,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,subindicator,data origin,direction,quantitative,unit,errortype,MPAAvalue,MPAA_samplesize,MPAAerror,MPAA_sd,controlA_value,controlA_samplesize,controlA_error,controlA_SD,errortype,MPAB_value,MPAB_samplesize,MPAB_error,MPAB_sd,controlB_value,controlB_samplesize,controlB_error,controlB_sd,ei,vei,comment
1,out,out,out,WoS,.,J,"Assis, J.; Fragkopoulou, E.; Serrao, E. A.; Horta e Costa, B.; Gandra, M.; Abecasis, D.","Assis, J.; Fragkopoulou, E.; Serrao, E. A.; Horta e Costa, B.; Gandra, M.; Abecasis, D.",Weak biodiversity connectivity in the European network of no-take marine protected areas,.,.,"The need for international cooperation in marine resource management and conservation has been reflected in the increasing number of agreements aiming for effective and well-connected networks of Marine Protected Areas (MPAs). However, the extent to which individual MPAs are connected remains mostly unknown. Here, we use a biophysical model tuned with empirical data on species dispersal ecology to predict connectivity of a vast spectrum of biodiversity in the European network of marine reserves (i.e., no-take MPAs). Our results highlight the correlation between empirical propagule duration data and connectivity potential and show weak network connectivity and strong isolation for major ecological groups, resulting from the lack of direct connectivity corridors between reserves over vast regions. The particularly high isolation predicted for ecosystemstructuring species (e.g., corals, sponges, macroalgae and seagrass) might potentially undermine biodiversity conservation efforts if local retention is insufficient and unmanaged populations are at risk. Isolation might also be problematic for populations' persistence in the light of climate change and expected species range shifts. Our findings provide novel insights for management directives, highlighting the location of regions requiring additional marine reserves to function as stepping-stone connectivity corridors. (C) 2021 Elsevier B.V. All rights reserved.",0,2021,10.1016/j.scitotenv.2021.145664,WOS:000635207100128,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,only assesses connectivity within the network
2,out,out,out,WoS,.,J,"Kriegl, Michael; Ilosvay, Xochitl E. Elias; von Dorrien, Christian; Oesterwind, Daniel","Kriegl, Michael; Ilosvay, Xochitl E. Elias; von Dorrien, Christian; Oesterwind, Daniel",Marine Protected Areas: At the Crossroads of Nature Conservation and Fisheries Management,.,.,"Marine protected areas (MPAs) are designated parts of the ocean that restrict human activities to a certain degree. MPAs are established around the world using a wide range of legislative instruments and thus come in a variety of forms and shapes. Despite being regarded as the ""cornerstone"" of global marine conservation efforts, they currently cover less than 10% of the ocean surface. Individual MPAs aim to achieve goals ranging from the protection of specific habitats or species to sustaining certain commercial activities, such as fishing. By default, the establishment of MPAs intertwines social, ecological and economic considerations. Yet, the emphasis put on each of these domains can vary substantially when setting on-the-ground objectives, frequently creating conflict among stakeholders. In this manuscript, we first discuss current international conservation targets as well as potential future goals and delve into the question of how to assess the effectiveness of MPAs. Subsequently, we discuss the ambivalent role of this widely applied management tool at the crossroads between biodiversity conservation and fisheries management. Placing MPAs in a social-ecological framework, we call for clear and measurable goals to evaluate MPAs from an interdisciplinary perspective. Finally, we present the Baltic Sea, with its high degree of anthropogenic impact, long fishing history and comparatively extensive MPA coverage, as an interesting case study to investigate the role of MPAs in promoting a sustainable management of the ocean.",0,2021,10.3389/fmars.2021.676264,WOS:000662882700001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,not about connectivity
3,out,out,out,WoS,.,J,"Sturm, Alexis B.; Eckert, Ryan J.; Carreiro, Ashley M.; Voss, Joshua D.","Sturm, Alexis B.; Eckert, Ryan J.; Carreiro, Ashley M.; Voss, Joshua D.","Population genetic structure of the broadcast spawning coral, Montastraea cavernosa, demonstrates refugia potential of upper mesophotic populations in the Florida Keys",.,.,"In the Florida Keys, coral cover on shallow reef systems (0-30 m) has declined over the past several decades, punctuated by severe losses during coral disease outbreaks and bleaching events. However, certain areas within the Florida Keys, especially the Dry Tortugas and many upper mesophotic habitats (30-60 m), have maintained relatively healthy coral communities, even in the face of recent severe and widespread coral disease outbreaks. Relatively little is known about the genetic connectivity of corals among these sites or the potential for mesophotic sites to act as refugia by contributing to metapopulation recovery and persistence. Using a paired shallow and upper mesophotic sampling design, we assessed the genetic connectivity of a dominant, broadcast spawning coral species, Montastraea cavernosa, across the Northern and Southern Dry Tortugas, Lower Florida Keys, and Upper Florida Keys. A genetic dataset based on a suite of > 9000 single-nucleotide polymorphism loci indicated that the level of vertical genetic connectivity between paired shallow and upper mesophotic populations varied significantly based on location. Shallow and upper mesophotic M. cavernosa populations in the Northern Dry Tortugas and the Upper Keys were genetically similar. In contrast, populations were significantly differentiated across depth in the Lower Keys and Southern Dry Tortugas. While upper mesophotic populations in the Lower Keys and Southern Dry Tortugas were distinct from their shallow counterparts, there was evidence of relatively high levels of genetic connectivity to both the shallow and upper mesophotic populations downstream in the Upper Keys. These results suggest that while vertical connectivity between paired shallow and mesophotic populations can vary, certain upper mesophotic populations may fill an important role in maintaining coral metapopulations throughout the Florida Keys and should be considered in future management strategies.",0,2021,10.1007/s00338-021-02112-y,WOS:000658282800001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,no MPA
4,out,out,out,WoS,.,J,"Peng, Yangjing; Meng, Minghao; Huang, Zhihao; Wang, Ruifeng; Cui, Guofa","Peng, Yangjing; Meng, Minghao; Huang, Zhihao; Wang, Ruifeng; Cui, Guofa","Landscape Connectivity Analysis and Optimization of Qianjiangyuan National Park, Zhejiang Province, China",.,.,"As natural ecosystems in most parts of the world come under increasing human influence, fragmentation is becoming the major driving factor of the global biodiversity crisis. Therefore, connectivity between habitat patches is becoming even more important. China began building national parks with the primary purpose of protecting nationally representative natural ecosystems and maintaining the integrity of their structure, processes and functions. Research is necessary to improve the internal connectivity of national parks and to propose suggestions for existing functional zoning and biological corridors. In this study, Qianjiangyuan National Park was selected as an example park, and landscape fragmentation was evaluated exponentially and simulated visually. The habitat characteristics of protected species in the region, morphological spatial pattern analysis and the delta of the probability of connectivity were used together to identify key habitat patches and their importance levels in the study area. Potential habitat corridors in the region were then obtained using least-cost path analysis and gravity modeling methods based on the distribution of key habitat and the migration costs of target species. The results of this study show that the disturbed landscape of the study area is dominated by tea plantations and drylands, with central roads being an important factor affecting the overall landscape connectivity. In terms of the distribution of key habitat patches, the mountains have a high value. In terms of area, their size is not directly proportional to their importance for maintaining landscape connectivity in the region, but large area patches are generally of higher importance. In terms of distance, key habitats that are closer to each other have a stronger correlation and a greater possibility for species migration. Combined with the functional zoning of Qianjiangyuan National Park, the setting of strictly protected areas and recreational areas is reasonable, and traditional use areas and ecological conservation areas could be appropriately adjusted according to the distribution of key habitats. The important corridor in the middle of the ecological conservation area is crucial for the overall connectivity of the national park, and the connectivity between strict protected areas will depend on successful protection of the ecological conservation area.",0,2021,10.3390/su13115944,WOS:000660761400001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not relevant
5,out,out,out,WoS,.,J,"Nolan, Megan K. B.; Kim, Catherine J. S.; Hoegh-Guldberg, Ove; Beger, Maria","Nolan, Megan K. B.; Kim, Catherine J. S.; Hoegh-Guldberg, Ove; Beger, Maria",The benefits of heterogeneity in spatial prioritisation within coral reef environments,.,.,"Coral reefs are highly vulnerable habitats, threatened by climate change and local anthropogenic impacts. Management is imperative, and spatial prioritisation apportions the area of interest to inform investments of scarce conservation resources. Spatially delineated planning units used to make management decisions are typically large enough to contain significant natural variabilities, but the ecological significance of such variance is seldom considered in planning decisions. On coral reefs, the patchiness of habitat quality within planning units matters both ecologically and functionally. Here, we show that considering within-planning unit variance in spatial prioritisation influences the location and design of reserve networks. Studying Timor-Leste, we statistically model the average and variance in coral cover. We compare conservation priority areas for scenarios informed by coral cover and variance to a baseline scenario with the spatial prioritisation software Marxan. To further explain these differences, and to show the value of including coral variance as a metric in spatial prioritisation, we created a reserve quality score. We show that the similarity between reserve networks was only 57% for protection, and 44% for restoration objectives. For both objectives, the inclusion of cover variance improves the conservation benefit of management. This project has shown a novel way to target areas for restoration. These results demonstrate that not only is mean coral cover (and, by extension, reef condition) a key criterion in selecting marine conservation actions, but its variance must be considered in spatial conservation prioritisation to improve both the efficiency and benefit of management actions within marine reserve networks.",0,2021,10.1016/j.biocon.2021.109155,WOS:000654277500004,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,about target criteria for MPA design
6,in,out,out,WoS,yes,J,"Blackford, Christopher; Krkosek, Martin; Fortin, Marie-Josee","Blackford, Christopher; Krkosek, Martin; Fortin, Marie-Josee",A data-limited modeling approach for conserving connectivity in marine protected area networks,.,.,"Marine Protected Areas (MPAs) are areas of marine ecosystems that have some level of protection to support one or more conservation objectives. One characteristic of MPA networks is that MPAs are spatially configured such that they provide the greatest protection possible for multiple species. Yet, it can be difficult to determine optimal MPA network arrangement due to insufficient information on multi-species habitat use and their dispersal abilities as larvae and adults. Here, we propose a modelling approach that involves determining the optimal MPA network configuration for multiple species assemblages, located at different depths and having differing dispersal abilities. As a case study, we applied this methodology in Pacific Canada where we identified optimal MPA configurations to protect 40 species having different pelagic larval duration (proxy for dispersal) at 3 different depth class groupings (proxy for habitat use). Taken together, we found dispersal ability had a larger impact on optimal MPA network configuration for species spending a long time as larvae compared to species spending a short time as larvae. We identify which 10% of this area is most important to conserve to maintain connectivity for a multi-species MPA network and show that half of these sites remain important to conserve in the future as climate change alters connectivity patterns. This model for MPA network design is feasible with limited data which is beneficial for application to other regions and ecosystems.",0,2021,10.1007/s00227-021-03890-3,WOS:000650831800001,model,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not relevant
7,out,out,out,WoS,.,J,"Benestan, L.; Fietz, K.; Loiseau, N.; Guerin, P. E.; Trofimenko, E.; Ruehs, S.; Schmidt, C.; Rath, W.; Biastoch, A.; Perez-Ruzafa, A.; Baixauli, P.; Forcada, A.; Arcas, E.; Lenfant, P.; Mallol, S.; Goni, R.; Velez, L.; Hoeppner, M.; Kininmonth, S.; Mouillot, D.; Puebla, O.; Manel, S.","Benestan, L.; Fietz, K.; Loiseau, N.; Guerin, P. E.; Trofimenko, E.; Ruehs, S.; Schmidt, C.; Rath, W.; Biastoch, A.; Perez-Ruzafa, A.; Baixauli, P.; Forcada, A.; Arcas, E.; Lenfant, P.; Mallol, S.; Goni, R.; Velez, L.; Hoeppner, M.; Kininmonth, S.; Mouillot, D.; Puebla, O.; Manel, S.",Restricted dispersal in a sea of gene flow,.,.,"How far do marine larvae disperse in the ocean? Decades of population genetic studies have revealed generally low levels of genetic structure at large spatial scales (hundreds of kilometres). Yet this result, typically based on discrete sampling designs, does not necessarily imply extensive dispersal. Here, we adopt a continuous sampling strategy along 950 km of coast in the northwestern Mediterranean Sea to address this question in four species. In line with expectations, we observe weak genetic structure at a large spatial scale. Nevertheless, our continuous sampling strategy uncovers a pattern of isolation by distance at small spatial scales (few tens of kilometres) in two species. Individual-based simulations indicate that this signal is an expected signature of restricted dispersal. At the other extreme of the connectivity spectrum, two pairs of individuals that are closely related genetically were found more than 290 km apart, indicating long-distance dispersal. Such a combination of restricted dispersal with rare long-distance dispersal events is supported by a high-resolution biophysical model of larval dispersal in the study area, and we posit that it may be common in marine species. Our results bridge population genetic studies with direct dispersal studies and have implications for the design of marine reserve networks.",0,2021,10.1098/rspb.2021.0458,WOS:000652670300003,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,no MPA
8,in,out,out,WoS,yes,J,"Goetze, Jordan S.; Wilson, Shaun; Radford, Ben; Fisher, Rebecca; Langlois, Tim J.; Monk, Jacquomo; Knott, Nathan A.; Malcolm, Hamish; Currey-Randall, Leanne M.; Ierodiaconou, Daniel; Harasti, David; Barrett, Neville; Babcock, Russell C.; Bosch, Nestor E.; Brock, Danny; Claudet, Joachim; Clough, Jock; Fairclough, David V.; Heupel, Michelle R.; Holmes, Thomas H.; Huveneers, Charlie; Jordan, Alan R.; McLean, Dianne; Meekan, Mark; Miller, David; Newman, Stephen J.; Rees, Matthew J.; Roberts, Kelsey E.; Saunders, Benjamin J.; Speed, Conrad W.; Travers, Michael J.; Treml, Eric; Whitmarsh, Sasha K.; Wakefield, Corey B.; Harvey, Euan S.","Goetze, Jordan S.; Wilson, Shaun; Radford, Ben; Fisher, Rebecca; Langlois, Tim J.; Monk, Jacquomo; Knott, Nathan A.; Malcolm, Hamish; Currey-Randall, Leanne M.; Ierodiaconou, Daniel; Harasti, David; Barrett, Neville; Babcock, Russell C.; Bosch, Nestor E.; Brock, Danny; Claudet, Joachim; Clough, Jock; Fairclough, David V.; Heupel, Michelle R.; Holmes, Thomas H.; Huveneers, Charlie; Jordan, Alan R.; McLean, Dianne; Meekan, Mark; Miller, David; Newman, Stephen J.; Rees, Matthew J.; Roberts, Kelsey E.; Saunders, Benjamin J.; Speed, Conrad W.; Travers, Michael J.; Treml, Eric; Whitmarsh, Sasha K.; Wakefield, Corey B.; Harvey, Euan S.",Increased connectivity and depth improve the effectiveness of marine reserves,.,.,"Marine reserves are a key tool for the conservation of marine biodiversity, yet only similar to 2.5% of the world's oceans are protected. The integration of marine reserves into connected networks representing all habitats has been encouraged by international agreements, yet the benefits of this design has not been tested empirically. Australia has one of the largest systems of marine reserves, providing a rare opportunity to assess how connectivity influences conservation success. An Australia-wide dataset was collected using baited remote underwater video systems deployed across a depth range from 0 to 100 m to assess the effectiveness of marine reserves for protecting teleosts subject to commercial and recreational fishing. A meta-analytical comparison of 73 fished species within 91 marine reserves found that, on average, marine reserves had 28% greater abundance and 53% greater biomass of fished species compared to adjacent areas open to fishing. However, benefits of protection were not observed across all reserves (heterogeneity), so full subsets generalized additive modelling was used to consider factors that influence marine reserve effectiveness, including distance-based and ecological metrics of connectivity among reserves. Our results suggest that increased connectivity and depth improve the aforementioned marine reserve benefits and that these factors should be considered to optimize such benefits over time. We provide important guidance on factors to consider when implementing marine reserves for the purpose of increasing the abundance and size of fished species, given the expected increase in coverage globally. We show that marine reserves that are highly protected (no-take) and designed to optimize connectivity, size and depth range can provide an effective conservation strategy for fished species in temperate and tropical waters within an overarching marine biodiversity conservation framework.",0,2021,10.1111/gcb.15635,WOS:000652323600001,meta analysis,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not relevant
9,out,out,out,WoS,.,J,"Lima, Luciana Shigihara; Marcolino Gherardi, Douglas Francisco; Pezzi, Luciano Ponzi; dos Passos, Leilane Goncalves; Kajiya Endo, Clarissa Akemi; Quimbayo, Juan Pablo","Lima, Luciana Shigihara; Marcolino Gherardi, Douglas Francisco; Pezzi, Luciano Ponzi; dos Passos, Leilane Goncalves; Kajiya Endo, Clarissa Akemi; Quimbayo, Juan Pablo",Potential changes in the connectivity of marine protected areas driven by extreme ocean warming,.,.,"Projected future climate scenarios anticipate a warmer tropical ocean and changes in surface currents that will likely influence the survival of marine organisms and the connectivity of marine protected areas (MPAs) networks. We simulated the regional effects of climate change on the demographic connectivity of parrotfishes in nine MPAs in the South Atlantic through downscaling of the HadGEM2-ES Earth System Model running the RCP 8.5 greenhouse gas trajectory. Results indicate a tropicalization scenario over the tropical southwest Atlantic following an increase of sea surface temperature (SST) between 1.8 and 4.5 degrees C and changes in mean surface currents between -0.6 to 0.5 m s(-1) relative to present conditions. High mortality rates will reduce demographic connectivity and increase the isolation of oceanic islands. The simulation of organismal response to ocean warming shows that acclimation can significantly improve (p<0.001) particle survival, promoting connectivity and tropicalization of MPAs, with potential impacts on their functional integrity and long-term resilience.",0,2021,10.1038/s41598-021-89192-6,WOS:000656960500003,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,about impacts of climate change on connectivity
10,in,out,out,WoS,yes,J,"Davenport, Theresa M.; Hughes, A. Randall; zu Ermgassen, Philine S. E.; Grabowski, Jonathan H.","Davenport, Theresa M.; Hughes, A. Randall; zu Ermgassen, Philine S. E.; Grabowski, Jonathan H.",Recruitment enhancement varies by taxonomic group and oyster reef habitat characteristics,.,.,"The rapid loss of coastal and estuarine biogenic habitats has reduced the delivery of valuable ecosystem services, resulting in calls for increased habitat restoration. Yet, a lack of information on how key habitat characteristics (e.g., area, vertical relief, age) influence the ability of restored habitats to deliver these ecosystem services hinders efforts to maximize the return on restoration investments. We conducted a meta-analysis to assess the influence of reef type (natural or restored), taxa, and restored reef size, vertical relief, age, and tidal zone on the presence and magnitude of recruitment enhancement for nekton (i.e., fish and swimming crabs). Both intertidal and subtidal reefs, as well as restored and natural reefs, enhanced nekton recruitment, though there was variation among taxonomic groups with reef types. Recruitment enhancement was more common across taxa on restored (six families) than on natural (one family) reefs. Resident nekton families were more consistently enhanced than transient families. Nekton enhancement varied with a number of restored reef characteristics. Recruitment enhancement increased with greater reef size across taxa, decreased with higher vertical relief for two families, showed maximum recruitment around a single intertidal reef age for one family, and showed minimum recruitment around a single subtidal reef age for three families. Understanding variation across species in response to key design elements will improve restoration success and enhance return on investment. Moving forward, we recommend studies that vary reef habitat characteristics independently and in combination to identify how variation in these characteristics interact to influence nekton recruitment enhancement by oyster reefs.",0,2021,10.1002/eap.2340,WOS:000646878700001,synthesis,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,no protection measures
