ID,OUTabstract,OUTtext,outMA,comment,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",Publication Year,DOI,UT (Unique ID),studytype,design,datayear,protection type,MPAname,MPAage,age_category,MPAcreation,MPAprotection,FPAsize,MPAsize,size_category,enforcement,country,climate,continent,ocean,ecosystem,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,subindicator,data origin,direction,quantitative,unit,errortype,MPAAvalue,MPAA_samplesize,MPAAerror,MPAA_sd,controlA_value,controlA_samplesize,controlA_error,controlA_SD,MPAB_value,MPAB_samplesize,MPAB_error,MPAB_sd,controlB_value,controlB_samplesize,controlB_error,controlB_sd,vei,ei
1,out,out,out,NA,WoS,.,J,,"Tao, Lily S. R.; Mak, Yanny K. Y.; Ho, Valerie C. M.; Sham, Ronia C-T; Hui, Tommy T. Y.; Lau, Danny C. P.; Leung, Kenneth M. Y.",Improvements of Population Fitness and Trophic Status of a Benthic Predatory Fish Following a Trawling Ban,FRONTIERS IN MARINE SCIENCE,.,"Trawl fisheries have been shown to cause overfishing and destruction of benthic habitats in the seabed. To mitigate these impacts, a trawling ban has been enforced in Hong Kong waters since December 31, 2012 to rehabilitate the ecosystem and enhance fisheries resources. Previous studies demonstrated that reduced trawling activities would increase the heterogeneity of benthic habitats, thereby enhancing species richness and abundance of benthic fauna and providing more prey resources for predatory fishes. This study aimed to test a hypothesis that the population and trophic dynamics of the Bartail flathead Platycephalus indicus, a heavily fished benthic predatory fish, at inner and outer Tolo Channel of Hong Kong (i.e., EI and EO) improved with increases in their body size, abundance, biomass, trophic niche, and trophic position after the trawl ban. Samples were collected from trawl surveys before and after the trawl ban to compare the pre-ban and post-ban populations of P. indicus from EI and EO. Body size, abundance, and biomass were assessed in 2004, 2013-2014, and 2015-2016, whereas trophic niche and trophic position were analyzed based on stable isotopes of fish samples collected in dry season of 2012, 2015, and 2018. Following the trawl ban, the abundance and biomass of P. indicus increased in EO, with body size increased in EI. Furthermore, as indicated by the results of stable isotope analysis (SIA) on their tissues and prey items, trophic niche, and trophic position of P. indicus increased in EI and EO, respectively. Our study demonstrated that the trawl ban had promoted the recovery of a predatory fish population through restoring size structure and trophic dynamics.",0,2021,10.3389/fmars.2021.614219,WOS:000677563600001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2,out,out,out,NA,WoS,.,J,,"Sturm, Alexis B.; Eckert, Ryan J.; Carreiro, Ashley M.; Voss, Joshua D.","Population genetic structure of the broadcast spawning coral, Montastraea cavernosa, demonstrates refugia potential of upper mesophotic populations in the Florida Keys",CORAL REEFS,.,"In the Florida Keys, coral cover on shallow reef systems (0-30 m) has declined over the past several decades, punctuated by severe losses during coral disease outbreaks and bleaching events. However, certain areas within the Florida Keys, especially the Dry Tortugas and many upper mesophotic habitats (30-60 m), have maintained relatively healthy coral communities, even in the face of recent severe and widespread coral disease outbreaks. Relatively little is known about the genetic connectivity of corals among these sites or the potential for mesophotic sites to act as refugia by contributing to metapopulation recovery and persistence. Using a paired shallow and upper mesophotic sampling design, we assessed the genetic connectivity of a dominant, broadcast spawning coral species, Montastraea cavernosa, across the Northern and Southern Dry Tortugas, Lower Florida Keys, and Upper Florida Keys. A genetic dataset based on a suite of > 9000 single-nucleotide polymorphism loci indicated that the level of vertical genetic connectivity between paired shallow and upper mesophotic populations varied significantly based on location. Shallow and upper mesophotic M. cavernosa populations in the Northern Dry Tortugas and the Upper Keys were genetically similar. In contrast, populations were significantly differentiated across depth in the Lower Keys and Southern Dry Tortugas. While upper mesophotic populations in the Lower Keys and Southern Dry Tortugas were distinct from their shallow counterparts, there was evidence of relatively high levels of genetic connectivity to both the shallow and upper mesophotic populations downstream in the Upper Keys. These results suggest that while vertical connectivity between paired shallow and mesophotic populations can vary, certain upper mesophotic populations may fill an important role in maintaining coral metapopulations throughout the Florida Keys and should be considered in future management strategies.",0,2021,10.1007/s00338-021-02112-y,WOS:000658282800001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
3,out,out,out,NA,WoS,.,J,,"Lima, Luciana Shigihara; Marcolino Gherardi, Douglas Francisco; Pezzi, Luciano Ponzi; dos Passos, Leilane Goncalves; Kajiya Endo, Clarissa Akemi; Quimbayo, Juan Pablo",Potential changes in the connectivity of marine protected areas driven by extreme ocean warming,SCIENTIFIC REPORTS,.,"Projected future climate scenarios anticipate a warmer tropical ocean and changes in surface currents that will likely influence the survival of marine organisms and the connectivity of marine protected areas (MPAs) networks. We simulated the regional effects of climate change on the demographic connectivity of parrotfishes in nine MPAs in the South Atlantic through downscaling of the HadGEM2-ES Earth System Model running the RCP 8.5 greenhouse gas trajectory. Results indicate a tropicalization scenario over the tropical southwest Atlantic following an increase of sea surface temperature (SST) between 1.8 and 4.5 degrees C and changes in mean surface currents between -0.6 to 0.5 m s(-1) relative to present conditions. High mortality rates will reduce demographic connectivity and increase the isolation of oceanic islands. The simulation of organismal response to ocean warming shows that acclimation can significantly improve (p<0.001) particle survival, promoting connectivity and tropicalization of MPAs, with potential impacts on their functional integrity and long-term resilience.",1,2021,10.1038/s41598-021-89192-6,WOS:000656960500003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
4,out,out,out,NA,WoS,.,J,,"Hays, Graeme C.; Chivers, William J.; Laloe, Jacques-Olivier; Sheppard, Charles; Esteban, Nicole",Impact of marine heatwaves for sea turtle nest temperatures,BIOLOGY LETTERS,.,"There are major concerns about the ecological impact of extreme weather events. In the oceans, marine heatwaves (MHWs) are an increasing threat causing, for example, recent devastation to coral reefs around the world. We show that these impacts extend to adjacent terrestrial systems and could negatively affect the breeding of endangered species. We demonstrate that during an MHW that resulted in major coral bleaching and mortality in a large, remote marine protected area, anomalously warm temperatures also occurred on sea turtle nesting beaches. Granger causality testing showed that variations in sea surface temperature strongly influenced sand temperatures on beaches. We estimate that the warm conditions on both coral reefs and sandy beaches during the MHW were unprecedented in the last 70 years. Model predictions suggest that the most extreme female-biased hatchling sex ratio and the lowest hatchling survival in nests in the last 70 years both occurred during the heatwave. Our work shows that predicted increases in the frequency and intensity of MHWs will likely have growing impacts on sea turtle nesting beaches as well as other terrestrial coastal environments.",0,2021,10.1098/rsbl.2021.0038,WOS:000651501800001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
5,out,out,out,NA,WoS,.,J,,"O'Brien, Kristin M.; Joyce, William; Crockett, Elizabeth L.; Axelsson, Michael; Egginton, Stuart; Farrell, Anthony P.",Resilience of cardiac performance in Antarctic notothenioid fishes in a warming climate,JOURNAL OF EXPERIMENTAL BIOLOGY,.,"Warming in the region of the Western Antarctic Peninsula is occurring at an unprecedented rate, which may threaten the survival of Antarctic notothenioid fishes. Herein, we review studies characterizing thermal tolerance and cardiac performance in notothenioids - a group that includes both red-blooded species and the white-blooded, haemoglobinless icefishes - as well as the relevant biochemistry associated with cardiac failure during an acute temperature ramp. Because icefishes do not feed in captivity, making long-term acclimation studies unfeasible, we focus only on the responses of red-blooded notothenioids to warm acclimation. With acute warming, hearts of the white-blooded icefish Chaenocephalus aceratus display persistent arrhythmia at a lower temperature (8 degrees C) compared with those of the red-blooded Notothenia coriiceps (14 degrees C). When compared with the icefish, the enhanced cardiac performance of N. coriiceps during warming is associated with greater aerobic capacity, higher ATP levels, less oxidative damage and enhanced membrane integrity. Cardiac performance can be improved in N. coriiceps with warm acclimation to 5 degrees C for 6-9 weeks, accompanied by an increase in the temperature at which cardiac failure occurs. Also, both cardiac mitochondrial and microsomal membranes are remodelled in response to warm acclimation in N. coriiceps, displaying homeoviscous adaptation. Overall, cardiac performance in N. coriiceps is malleable and resilient to warming, yet thermal tolerance and plasticity vary among different species of notothenioid fishes; disruptions to the Antarctic ecosystem driven by climate warming and other anthropogenic activities endanger the survival of notothenioids, warranting greater protection afforded by an expansion of marine protected areas.",0,2021,10.1242/jeb.220129,WOS:000660873700001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
6,in,out,out,no control,WoS,yes,J,,"Kelley, Emma R.; Sleith, Robin S.; Matz, Mikhail V.; Wright, Rachel M.",Gene expression associated with disease resistance and long-term growth in a reef-building coral,ROYAL SOCIETY OPEN SCIENCE,.,"Rampant coral disease, exacerbated by climate change and other anthropogenic stressors, threatens reefs worldwide, especially in the Caribbean. Physically isolated yet genetically connected reefs such as Flower Garden Banks National Marine Sanctuary (FGBNMS) may serve as potential refugia for degraded Caribbean reefs. However, little is known about the mechanisms and trade-offs of pathogen resistance in reef-building corals. Here, we measure pathogen resistance in Montastraea cavernosa from FGBNMS. We identified individual colonies that demonstrated resistance or susceptibility to Vibrio spp. in a controlled laboratory environment. Long-term growth patterns suggest no trade-off between disease resistance and calcification. Predictive (pre-exposure) gene expression highlights subtle differences between resistant and susceptible genets, encouraging future coral disease studies to investigate associations between resistance and replicative age and immune cell populations. Predictive gene expression associated with long-term growth underscores the role of transmembrane proteins involved in cell adhesion and cell-cell interactions, contributing to the growing body of knowledge surrounding genes that influence calcification in reef-building corals. Together these results demonstrate that coral genets from isolated sanctuaries such as FGBNMS can withstand pathogen challenges and potentially aid restoration efforts in degraded reefs. Furthermore, gene expression signatures associated with resistance and long-term growth help inform strategic assessment of coral health parameters.",0,2021,10.1098/rsos.210113,WOS:000642217600001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
7,out,out,out,NA,WoS,.,J,,"Clementi, Gina M.; Babcock, Elizabeth A.; Valentin-Albanese, Jasmine; Bond, Mark E.; Flowers, Kathryn, I; Heithaus, Michael R.; Whitman, Elizabeth R.; Bergmann, Maurits P. M. Van Zinnicq; Guttridge, Tristan L.; O'Shea, Owen R.; Shipley, Oliver N.; Brooks, Edward J.; Kessel, Steven T.; Chapman, Demian D.",Anthropogenic pressures on reef-associated sharks in jurisdictions with and without directed shark fishing,MARINE ECOLOGY PROGRESS SERIES,.,"Shark populations have declined across the Caribbean region, with negative associations between shark abundance and human population density, open access to fishing, and proximity to large markets ('market gravity'). This decline is frequently attributed to fishing mortality, which increases in areas closer to humans and outside marine reserves. Although it is difficult to disentangle the effects of fishing mortality from other anthropogenic pressures on sharks, comparing shark abundance and diversity in jurisdictions with near zero fishing mortality versus prevalent shark fishing can demonstrate the role of overfishing. We used baited remote underwater video systems to compare shark abundance and diversity on coral reefs in 2 Caribbean nations with contrasting levels of shark exploitation: Belize (shark fishing) and The Bahamas (shark sanctuary). The abundance of targeted shark species and diversity were significantly higher in The Bahamas than in Belize. Caribbean reef and nurse shark abundance in Belize were best predicted by fishing-related factors (marine reserves, market gravity, their interaction). In The Bahamas, abiotic factors (depth, sea surface temperature) best predicted nurse shark abundance, while depth, market gravity, and its interaction with marine reserves predicted Caribbean reef shark abundance. These results indicate that fishing mortality reduces shark abundance and diversity in Belize, while lower fishing mortality in The Bahamas has greatly reduced but not eliminated human impacts on sharks. Future work should elucidate the indirect effects of humans to develop holistic shark conservation plans. We suggest minimizing shark fishing through multinational management plans to improve shark abundance and diversity, especially on reefs near densely populated areas.",2,2021,10.3354/meps13607,WOS:000629155900012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
8,in,out,out,no control,WoS,yes,J,,"Colon-Pineiro, Zuania; Nieves-Alvarez, Juan J.; Rodriguez-Fourquet, Concepcion","Demography and shell use of the terrestrial hermit crab Coenobita clypeatus Fabricius, 1787 (Decapoda: Anomura: Coenobitidae) in two marine protected areas in Puerto Rico",JOURNAL OF CRUSTACEAN BIOLOGY,.,"Individuals of the terrestrial hermit crab Coenobita clypeatus use different gastropod shells for shelter during their life span. Availability of shells affects population traits, including density and size structure, influencing their fitness and survival. Locality and human presence can induce variation in the diversity and size of gastropod shells, influencing available shells for hermit crabs. We assessed how the diversity, size, and abundance of the occupied species of gastropod shells affect the density and demography of C. clypeatus in two marine protected areas (MPA) with different recreational use in Puerto Rico, Manati (high) and Mona Island (low). We also evaluated the relationship between three shell traits (length, width, and aperture length) and the length of the crab chela as a size proxy. We did not find differences in the sex ratio. The density and median chela sizes were higher in crabs from Manati. In Mona, however, they reached larger sizes. The diversity of occupied shell species was higher in Manati than in Mona. Dimensions of occupied shells differed between genera and between study sites, and they scaled positively with hermit crab size. Differences in shells diversity, sizes, and abundance between MPAs might cause differences in density and demography of C. clypeatus. We only found large shells of Cittarium pica (Linnaeus, 1758), the only species occupied by larger individuals, occupied by hermit crabs in Mona. The low abundance of C. pica shells in Manati might have affected the size of hermit crabs in this locality. Our in situ findings suggest that hermit crabs need larger shells to reach larger sizes as previously shown, and that location and the degree of human intervention might influence the availability of gastropod shells. Our study is the first attempt to characterize the demography and gastropod shells used by hermit crabs in Puerto Rico.",0,2021,10.1093/jcbiol/ruaa101,WOS:000649390100015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
9,out,out,out,NA,WoS,.,J,,"Betti, F.; Venturini, S.; Merotto, L.; Cappanera, V.; Ferrando, S.; Aicardi, S.; Mandich, A.; Castellano, M.; Povero, P.","Population trends of the fan mussel Pinna nobilis from Portofino MPA (Ligurian Sea, Western Mediterranean Sea) before and after a mass mortality event and a catastrophic storm",EUROPEAN ZOOLOGICAL JOURNAL,.,"Two Pinna nobilis populations thriving inside the borders of the Portofino Marine Protected Area (MPA) (Ligurian Sea, western Mediterranean Sea) were monitored before (2012) and after (September 2018) a dire mass mortality event that, since September 2016, spread through the whole Mediterranean Sea. In Portofino MPA, recorded mortality rates reached values of 91.29% and 43.94% in the two populations. The presence of a Haplosporidium protozoan parasite, considered to be the main cause of the mortality episodes, was confirmed from histological evidence: sporocysts and plasmodia were observed in all the tubules of the digestive glands of the collected specimens. Moreover, a catastrophic storm hit the Ligurian coasts at the end of October 2018, causing considerable damages both below and above the surface; a new survey conducted in November 2018 showed the complete annihilation of the two studied populations, as a probable combination of the continued parasite infections and the mechanical impacts caused by the storm. Finally, in June 2020 the sites were monitored again looking for traces of recovery, but no new specimens were recorded, indicating that P. nobilis became virtually absent from the MPA.",0,2021,10.1080/24750263.2020.1850891,WOS:000598648700001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
10,in,in,out,not quantitative study; to use for discussion,WoS,yes,J,,"Davies, Charlotte E",Invertebrate health in marine protected areas (MPAs).,Journal of invertebrate pathology,.,"Marine protected areas (MPAs) consist of various categories of safeguarded areas in the marine environment, from semi-protected areas to total no take zones. The reported effects of MPAs are overwhelmingly positive, with numerous reports of fish size (biomass), abundance (recovery) and diversity increases, however, literature is lacking on the role and consequences of MPAs on parasite and disease dynamics, and in particular, invertebrate health. The implementation of MPAs has been known to alter trophic cascades and community dynamics, and with invertebrates commonly at the base of these systems, it is vital that their status is investigated. Overcrowding in areas closed to fishing is known to have parasitological consequences in some scenarios, and land/water use change has been known to alter host and vector communities, possibly elevating disease risk. Equally, reserves can be used as tools for alleviating impacts of marine disease. This review aims to consolidate extant literature and provide a comprehensive viewpoint on how invertebrates (and their health status) can be affected by MPAs, which are increasingly being implemented based on the relative urgency now being placed on protecting global biodiversity. In highlighting the paucity of knowledge surrounding MPAs and disease, especially that of the unenigmatic invertebrate groups, this review, published in the Special Issue on 'Invertebrates as One Health Sentinels', provides an opportunity for wide dissemination and provocation of further research in this area.",0,2020,10.1016/j.jip.2020.107524,MEDLINE:33359479,review,mix,2019,MPA,mix,mix,mix,mix,mix,mix,mix,mix,NA,mix,mix,mix,mix,mix,invertebrate,mix,mix,no,.,.,.,phenotypic,.,NA,NA,NA,ambiguous,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,NA,
